# FuzzAddRoute — 5 minute evidence run
# Date (UTC): 2026-09-26T03:11:06Z
# Commit: a7890d973aba8d7c1cabb2560aa16bf4b45017a1
# Go version: go version go1.27.0 linux/amd64
# Host CPU: AMD Ryzen 9 5900HX with Radeon Graphics (16 logical cores)
# Working dir: /data/dev/github.com/FlavioCFOliveira/MuxMaster/reports/path-routing-fuzzer/harness
# Command: go test -mod=mod -run '^$' -fuzz '^FuzzAddRoute$' -fuzztime 5m .
# Note: harness/vendor/ contains a STALE copy of MuxMaster (pre-dates commit
#   7beb168 'fix(tree): parameters never match an empty path segment' and the
#   regex-brace panic fix). -mod=mod forces module resolution via the replace
#   directive (github.com/FlavioCFOliveira/MuxMaster => ../../../), bypassing
#   vendor/ entirely, so this run exercises the CURRENT working-tree tree.go.
# Verified via: 'go list -mod=mod -f {{.Dir}} github.com/FlavioCFOliveira/MuxMaster'
#   => /data/dev/github.com/FlavioCFOliveira/MuxMaster (the live working tree).
################################################################################

=== RUN   FuzzAddRoute
fuzz: elapsed: 0s, gathering baseline coverage: 0/238 completed
fuzz: elapsed: 1s, gathering baseline coverage: 238/238 completed, now fuzzing with 16 workers
fuzz: elapsed: 3s, execs: 177381 (59108/sec), new interesting: 4 (total: 242)
fuzz: elapsed: 6s, execs: 395519 (72721/sec), new interesting: 9 (total: 247)
fuzz: elapsed: 9s, execs: 622478 (75630/sec), new interesting: 15 (total: 253)
fuzz: elapsed: 12s, execs: 859539 (79025/sec), new interesting: 21 (total: 259)
fuzz: elapsed: 15s, execs: 1082720 (74421/sec), new interesting: 30 (total: 268)
fuzz: elapsed: 18s, execs: 1308423 (75236/sec), new interesting: 33 (total: 271)
fuzz: elapsed: 21s, execs: 1526446 (72664/sec), new interesting: 35 (total: 273)
fuzz: elapsed: 24s, execs: 1759202 (77581/sec), new interesting: 43 (total: 281)
fuzz: elapsed: 27s, execs: 1974254 (71655/sec), new interesting: 50 (total: 288)
fuzz: elapsed: 30s, execs: 2185573 (70471/sec), new interesting: 57 (total: 295)
fuzz: elapsed: 33s, execs: 2392996 (69080/sec), new interesting: 63 (total: 301)
fuzz: elapsed: 36s, execs: 2607825 (71672/sec), new interesting: 72 (total: 310)
fuzz: elapsed: 39s, execs: 2820560 (70922/sec), new interesting: 78 (total: 316)
fuzz: elapsed: 42s, execs: 3029462 (69631/sec), new interesting: 81 (total: 319)
fuzz: elapsed: 45s, execs: 3247633 (72716/sec), new interesting: 91 (total: 329)
fuzz: elapsed: 48s, execs: 3460847 (71085/sec), new interesting: 99 (total: 337)
fuzz: elapsed: 51s, execs: 3653702 (64269/sec), new interesting: 101 (total: 339)
fuzz: elapsed: 54s, execs: 3839859 (62051/sec), new interesting: 107 (total: 345)
fuzz: elapsed: 57s, execs: 4020319 (60152/sec), new interesting: 114 (total: 352)
fuzz: elapsed: 1m0s, execs: 4245965 (75228/sec), new interesting: 121 (total: 359)
fuzz: elapsed: 1m3s, execs: 4499630 (84568/sec), new interesting: 127 (total: 365)
fuzz: elapsed: 1m6s, execs: 4707861 (69357/sec), new interesting: 134 (total: 372)
fuzz: elapsed: 1m9s, execs: 4910143 (67450/sec), new interesting: 141 (total: 379)
fuzz: elapsed: 1m12s, execs: 5132049 (73970/sec), new interesting: 144 (total: 382)
fuzz: elapsed: 1m15s, execs: 5338897 (68968/sec), new interesting: 150 (total: 388)
fuzz: elapsed: 1m18s, execs: 5546147 (69091/sec), new interesting: 154 (total: 392)
fuzz: elapsed: 1m21s, execs: 5739371 (64410/sec), new interesting: 156 (total: 394)
fuzz: elapsed: 1m24s, execs: 5964860 (75164/sec), new interesting: 157 (total: 395)
fuzz: elapsed: 1m27s, execs: 6177238 (70775/sec), new interesting: 160 (total: 398)
fuzz: elapsed: 1m30s, execs: 6386282 (69689/sec), new interesting: 163 (total: 401)
fuzz: elapsed: 1m33s, execs: 6595192 (69632/sec), new interesting: 165 (total: 403)
fuzz: elapsed: 1m36s, execs: 6802649 (69153/sec), new interesting: 168 (total: 406)
fuzz: elapsed: 1m39s, execs: 7005229 (67530/sec), new interesting: 173 (total: 411)
fuzz: elapsed: 1m42s, execs: 7196144 (63640/sec), new interesting: 174 (total: 412)
fuzz: elapsed: 1m45s, execs: 7430716 (78183/sec), new interesting: 175 (total: 413)
fuzz: elapsed: 1m48s, execs: 7638448 (69245/sec), new interesting: 179 (total: 417)
fuzz: elapsed: 1m51s, execs: 7847455 (69670/sec), new interesting: 182 (total: 420)
