goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkFastParamRoute1-16            	22133576	        53.13 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16            	21420622	        53.42 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16            	22632096	        53.32 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16            	22248938	        53.50 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16            	22149783	        53.20 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16            	22578146	        53.26 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16            	22003077	        53.19 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16            	22277641	        53.31 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16            	22391536	        53.03 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16            	22344304	        52.97 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16            	17390355	        68.08 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16            	17275250	        68.14 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16            	17381400	        68.16 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16            	17363677	        68.94 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16            	17058033	        69.26 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16            	17244076	        68.43 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16            	15177495	        69.24 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16            	17153024	        68.43 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16            	17097584	        68.24 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16            	17345499	        68.66 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16            	15092689	        79.34 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16            	15059511	        78.87 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16            	15021343	        79.18 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16            	14807914	        79.04 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16            	14838735	        78.78 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16            	15058389	        78.33 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16            	15055288	        79.03 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16            	15162400	        78.22 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16            	15179667	        78.69 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16            	14907978	        78.90 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16     	79523710	        14.21 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16     	85925028	        14.24 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16     	84250226	        14.56 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16     	81579271	        14.75 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16     	79277500	        14.94 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16     	77741872	        15.12 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16     	80652548	        14.93 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16     	84048279	        14.98 ns/op	      32 B/op	       1 allocs/op
