goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStaticRoute-16           	46959073	        25.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	46370642	        25.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	47176460	        25.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	44709931	        25.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	46857897	        25.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	46763270	        25.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	46633429	        25.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	47162734	        25.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	45599511	        25.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	45040681	        25.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16           	10439930	       110.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	10487065	       109.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	11041302	       110.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	11225710	       110.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	10939438	       109.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	11015260	       109.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	10999724	       110.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	 9390160	       110.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	10911962	       110.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	10854764	       110.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8797437	       135.6 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8681565	       135.5 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8719720	       134.7 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8828058	       136.0 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8990638	       136.7 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8672079	       135.2 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8848963	       139.1 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8543521	       135.5 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8765008	       134.0 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8914946	       134.6 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8421813	       142.4 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8545029	       146.7 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8335741	       139.6 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8678821	       140.2 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8470507	       139.1 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8479666	       140.0 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8503672	       141.4 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8517220	       141.5 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8260065	       140.3 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8549617	       140.1 ns/op	     480 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16    	12373621	       102.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16    	11547579	       101.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16    	11942112	       102.1 ns/op	     416 B/op	       1 allocs/op
