goos: linux
goarch: amd64
pkg: competitor/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkMuxMasterStaticRoute-16                	37942003	        29.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterStaticRoute-16                	41483140	        30.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterStaticRoute-16                	39774284	        30.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterStaticRoute-16                	40200597	        30.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterStaticRoute-16                	40488966	        30.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterParamRoute1-16                	 9780181	       124.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute1-16                	 9822697	       123.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute1-16                	 9349752	       126.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute1-16                	 9701702	       123.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute1-16                	 9719274	       125.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute2-16                	 8037094	       148.2 ns/op	     448 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute2-16                	 8360580	       145.5 ns/op	     448 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute2-16                	 8130325	       147.8 ns/op	     448 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute2-16                	 8063320	       148.0 ns/op	     448 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute2-16                	 8012120	       149.8 ns/op	     448 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute3-16                	 7780648	       149.9 ns/op	     480 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute3-16                	 7978638	       149.9 ns/op	     480 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute3-16                	 8055673	       149.3 ns/op	     480 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute3-16                	 7472852	       155.5 ns/op	     480 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute3-16                	 7301792	       151.2 ns/op	     480 B/op	       1 allocs/op
BenchmarkMuxMasterWildcardRoute-16              	 9540462	       124.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterWildcardRoute-16              	 9329415	       124.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterWildcardRoute-16              	 9445194	       123.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterWildcardRoute-16              	 9440097	       124.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterWildcardRoute-16              	 8796699	       124.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterNotFound-16                   	 3866799	       307.2 ns/op	     117 B/op	       3 allocs/op
BenchmarkMuxMasterNotFound-16                   	 4238854	       304.0 ns/op	     111 B/op	       3 allocs/op
BenchmarkMuxMasterNotFound-16                   	 4280232	       301.4 ns/op	     110 B/op	       3 allocs/op
BenchmarkMuxMasterNotFound-16                   	 4276712	       305.1 ns/op	     110 B/op	       3 allocs/op
BenchmarkMuxMasterNotFound-16                   	 4302166	       305.7 ns/op	     110 B/op	       3 allocs/op
BenchmarkMuxMasterParallelStaticRoute-16        	295788232	         4.131 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterParallelStaticRoute-16        	269213559	         4.395 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterParallelStaticRoute-16        	261085292	         4.370 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterParallelStaticRoute-16        	286557760	         4.193 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterParallelStaticRoute-16        	286147718	         4.315 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterParallelParamRoute-16         	10391452	       105.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterParallelParamRoute-16         	11229632	       106.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterParallelParamRoute-16         	11118241	       106.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterParallelParamRoute-16         	11287544	       107.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterParallelParamRoute-16         	11132497	       107.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkHTTProuterStaticRoute-16               	35105524	        34.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterStaticRoute-16               	35066906	        34.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterStaticRoute-16               	35195125	        34.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterStaticRoute-16               	34877204	        34.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterStaticRoute-16               	35543730	        34.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterParamRoute1-16               	20360668	        58.21 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute1-16               	20443303	        57.99 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute1-16               	20741448	        58.02 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute1-16               	20364868	        58.15 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute1-16               	20557875	        58.35 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute2-16               	16367511	        71.43 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute2-16               	16598283	        71.37 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute2-16               	16223397	        71.26 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute2-16               	16504009	        71.42 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute2-16               	16508640	        71.54 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute3-16               	15415069	        78.07 ns/op	      96 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute3-16               	15421142	        77.59 ns/op	      96 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute3-16               	15257199	        77.77 ns/op	      96 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute3-16               	15376772	        77.53 ns/op	      96 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute3-16               	15362253	        76.89 ns/op	      96 B/op	       1 allocs/op
BenchmarkHTTProuterWildcardRoute-16             	23329450	        50.28 ns/op	      32 B/op	       1 allocs/op
BenchmarkHTTProuterWildcardRoute-16             	23535411	        50.50 ns/op	      32 B/op	       1 allocs/op
BenchmarkHTTProuterWildcardRoute-16             	23587722	        50.08 ns/op	      32 B/op	       1 allocs/op
BenchmarkHTTProuterWildcardRoute-16             	23416665	        50.38 ns/op	      32 B/op	       1 allocs/op
BenchmarkHTTProuterWildcardRoute-16             	23115552	        50.63 ns/op	      32 B/op	       1 allocs/op
BenchmarkHTTProuterNotFound-16                  	 2790096	       416.3 ns/op	      96 B/op	       3 allocs/op
BenchmarkHTTProuterNotFound-16                  	 2835351	       425.7 ns/op	      95 B/op	       3 allocs/op
