goos: linux
goarch: amd64
pkg: competitor/fiber_bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStaticRoute-16            	12583746	       188.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	12602353	       190.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	12647400	       189.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	12691840	       191.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	12750021	       189.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	12894619	       188.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	12448761	       189.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	12651118	       189.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	12666399	       187.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	12542608	       189.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16            	11245401	       214.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16            	11124216	       214.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16            	11326053	       211.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16            	11326915	       211.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16            	11395582	       212.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16            	11276061	       212.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16            	11124550	       213.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16            	11182105	       213.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16            	11383608	       213.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16            	11212076	       212.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute2-16            	 8228604	       289.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute2-16            	 8310272	       291.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute2-16            	 8191537	       288.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute2-16            	 8294559	       289.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute2-16            	 8374432	       288.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute2-16            	 8336140	       289.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute2-16            	 8329860	       289.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute2-16            	 8288500	       288.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute2-16            	 8341737	       288.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute2-16            	 8424996	       287.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute3-16            	 8930157	       271.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute3-16            	 8948899	       270.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute3-16            	 8878926	       275.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute3-16            	 8964105	       272.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute3-16            	 8676598	       272.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute3-16            	 8977029	       270.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute3-16            	 8862708	       272.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute3-16            	 8857839	       270.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute3-16            	 8797188	       270.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute3-16            	 8854452	       269.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkWildcardRoute-16          	11228512	       216.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkWildcardRoute-16          	11326462	       212.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkWildcardRoute-16          	11175075	       213.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkWildcardRoute-16          	11316164	       213.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkWildcardRoute-16          	11301106	       214.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkWildcardRoute-16          	11227909	       213.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkWildcardRoute-16          	11123065	       213.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkWildcardRoute-16          	11078902	       214.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkWildcardRoute-16          	11198064	       213.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkWildcardRoute-16          	11217045	       215.5 ns/op	       0 B/op	       0 allocs/op
