goos: linux
goarch: amd64
pkg: competitor/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkMuxMasterStaticRoute-16                 	88951411	        26.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterStaticRoute-16                 	88472308	        26.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterStaticRoute-16                 	91420114	        26.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterStaticRoute-16                 	89807378	        27.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterStaticRoute-16                 	88599139	        27.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterStaticRoute-16                 	89090013	        27.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterStaticRoute-16                 	88323591	        27.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterStaticRoute-16                 	85268643	        27.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterStaticRoute-16                 	89083317	        27.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterStaticRoute-16                 	87709273	        27.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterParamRoute1-16                 	22315707	       111.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute1-16                 	20693641	       113.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute1-16                 	19617717	       111.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute1-16                 	21219081	       112.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute1-16                 	20671172	       112.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute1-16                 	20449891	       113.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute1-16                 	22062115	       113.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute1-16                 	21479859	       115.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute1-16                 	21063756	       113.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute1-16                 	21389956	       113.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute2-16                 	18862555	       128.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute2-16                 	18235917	       129.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute2-16                 	18575043	       125.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute2-16                 	19311591	       126.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute2-16                 	18008212	       126.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute2-16                 	18830874	       128.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute2-16                 	18760267	       130.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute2-16                 	18718144	       128.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute2-16                 	19372035	       128.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute2-16                 	17162566	       128.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute3-16                 	17089573	       143.7 ns/op	     480 B/op	       1 allocs/op
