goos: linux
goarch: amd64
pkg: competitor/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
                                     │ /tmp/muxperf/final/competitor_main.txt │
                                     │                 sec/op                 │
MuxMasterStaticRoute-16                                         27.30n ±   4%
MuxMasterParamRoute1-16                                         113.1n ±   1%
MuxMasterParamRoute2-16                                         128.4n ±   2%
MuxMasterParamRoute3-16                                         143.8n ±   1%
MuxMasterWildcardRoute-16                                       115.2n ±   2%
MuxMasterNotFound-16                                            297.5n ±   1%
MuxMasterParallelStaticRoute-16                                 4.168n ±  42%
MuxMasterParallelParamRoute-16                                  315.0n ±   5%
HTTProuterStaticRoute-16                                        35.12n ± 153%
HTTProuterParamRoute1-16                                        56.99n ±   1%
HTTProuterParamRoute2-16                                        66.41n ±   0%
HTTProuterParamRoute3-16                                        74.66n ±   0%
HTTProuterWildcardRoute-16                                      48.85n ±   1%
HTTProuterNotFound-16                                           414.1n ±   1%
HTTProuterParallelStaticRoute-16                                4.809n ±   1%
HTTProuterParallelParamRoute-16                                 23.25n ±   0%
BunRouterStaticRoute-16                                         198.6n ±   1%
BunRouterParamRoute1-16                                         195.3n ±   3%
BunRouterParamRoute2-16                                         212.8n ±   1%
BunRouterParamRoute3-16                                         214.0n ±   2%
BunRouterWildcardRoute-16                                       185.3n ±   1%
BunRouterNotFound-16                                            314.2n ±   2%
BunRouterParallelStaticRoute-16                                 129.5n ±   1%
BunRouterParallelParamRoute-16                                  129.4n ±   1%
ChiStaticRoute-16                                               220.4n ±   1%
ChiParamRoute1-16                                               359.7n ±   1%
ChiParamRoute2-16                                               403.5n ±   1%
ChiParamRoute3-16                                               415.0n ±   1%
ChiWildcardRoute-16                                             341.9n ±   1%
ChiNotFound-16                                                  374.0n ±   1%
ChiParallelStaticRoute-16                                       134.8n ±   3%
ChiParallelParamRoute-16                                        232.8n ±   1%
MuxMasterFastStaticRoute-16                                     26.75n ±   1%
MuxMasterFastParamRoute1-16                                     51.29n ±   0%
MuxMasterFastParamRoute2-16                                     69.95n ±   0%
MuxMasterFastParamRoute3-16                                     78.00n ±   0%
MuxMasterFastWildcardRoute-16                                   50.87n ±   1%
MuxMasterFastParallelStaticRoute-16                             3.784n ±   2%
