goos: linux
goarch: amd64
pkg: competitor/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkGorillaMuxStaticRoute-16            	 2134581	       549.3 ns/op	     848 B/op	       7 allocs/op
BenchmarkGorillaMuxStaticRoute-16            	 2189487	       556.8 ns/op	     848 B/op	       7 allocs/op
BenchmarkGorillaMuxStaticRoute-16            	 2165070	       555.4 ns/op	     848 B/op	       7 allocs/op
BenchmarkGorillaMuxStaticRoute-16            	 2170406	       552.8 ns/op	     848 B/op	       7 allocs/op
BenchmarkGorillaMuxStaticRoute-16            	 2169120	       555.4 ns/op	     848 B/op	       7 allocs/op
BenchmarkGorillaMuxParamRoute1-16            	 1328541	       905.4 ns/op	    1152 B/op	       8 allocs/op
BenchmarkGorillaMuxParamRoute1-16            	 1317193	       907.7 ns/op	    1152 B/op	       8 allocs/op
BenchmarkGorillaMuxParamRoute1-16            	 1313218	       910.3 ns/op	    1152 B/op	       8 allocs/op
BenchmarkGorillaMuxParamRoute1-16            	 1326145	       901.5 ns/op	    1152 B/op	       8 allocs/op
BenchmarkGorillaMuxParamRoute1-16            	 1331764	       902.9 ns/op	    1152 B/op	       8 allocs/op
BenchmarkGorillaMuxParamRoute2-16            	  744880	      1430 ns/op	    1168 B/op	       8 allocs/op
BenchmarkGorillaMuxParamRoute2-16            	  772628	      1423 ns/op	    1168 B/op	       8 allocs/op
BenchmarkGorillaMuxParamRoute2-16            	  764205	      1429 ns/op	    1168 B/op	       8 allocs/op
BenchmarkGorillaMuxParamRoute2-16            	  757177	      1439 ns/op	    1168 B/op	       8 allocs/op
BenchmarkGorillaMuxParamRoute2-16            	  748796	      1430 ns/op	    1168 B/op	       8 allocs/op
BenchmarkGorillaMuxParamRoute3-16            	  664765	      1673 ns/op	    1184 B/op	       8 allocs/op
BenchmarkGorillaMuxParamRoute3-16            	  651590	      1673 ns/op	    1184 B/op	       8 allocs/op
BenchmarkGorillaMuxParamRoute3-16            	  655672	      1669 ns/op	    1184 B/op	       8 allocs/op
BenchmarkGorillaMuxParamRoute3-16            	  655776	      1677 ns/op	    1184 B/op	       8 allocs/op
BenchmarkGorillaMuxParamRoute3-16            	  637724	      1674 ns/op	    1184 B/op	       8 allocs/op
BenchmarkGorillaMuxWildcardRoute-16          	  742485	      1534 ns/op	    1152 B/op	       8 allocs/op
BenchmarkGorillaMuxWildcardRoute-16          	  698095	      1546 ns/op	    1152 B/op	       8 allocs/op
BenchmarkGorillaMuxWildcardRoute-16          	  700054	      1538 ns/op	    1152 B/op	       8 allocs/op
BenchmarkGorillaMuxWildcardRoute-16          	  734010	      1544 ns/op	    1152 B/op	       8 allocs/op
BenchmarkGorillaMuxWildcardRoute-16          	  739736	      1540 ns/op	    1152 B/op	       8 allocs/op
BenchmarkGorillaMuxNotFound-16               	 1000000	      1023 ns/op	     163 B/op	       4 allocs/op
BenchmarkGorillaMuxNotFound-16               	 1000000	      1026 ns/op	     163 B/op	       4 allocs/op
BenchmarkGorillaMuxNotFound-16               	 1000000	      1028 ns/op	     163 B/op	       4 allocs/op
BenchmarkGorillaMuxNotFound-16               	 1000000	      1027 ns/op	     163 B/op	       4 allocs/op
BenchmarkGorillaMuxNotFound-16               	 1000000	      1025 ns/op	     163 B/op	       4 allocs/op
BenchmarkGorillaMuxParallelStaticRoute-16    	 3791370	       317.1 ns/op	     849 B/op	       7 allocs/op
BenchmarkGorillaMuxParallelStaticRoute-16    	 3782401	       319.5 ns/op	     849 B/op	       7 allocs/op
BenchmarkGorillaMuxParallelStaticRoute-16    	 3738075	       323.3 ns/op	     849 B/op	       7 allocs/op
BenchmarkGorillaMuxParallelStaticRoute-16    	 3758392	       322.8 ns/op	     849 B/op	       7 allocs/op
BenchmarkGorillaMuxParallelStaticRoute-16    	 3606298	       328.5 ns/op	     849 B/op	       7 allocs/op
BenchmarkGorillaMuxParallelParamRoute-16     	 2779113	       429.1 ns/op	    1153 B/op	       8 allocs/op
BenchmarkGorillaMuxParallelParamRoute-16     	 2794599	       429.4 ns/op	    1153 B/op	       8 allocs/op
BenchmarkGorillaMuxParallelParamRoute-16     	 2784661	       431.3 ns/op	    1153 B/op	       8 allocs/op
BenchmarkGorillaMuxParallelParamRoute-16     	 2795469	       431.5 ns/op	    1153 B/op	       8 allocs/op
BenchmarkGorillaMuxParallelParamRoute-16     	 2774130	       432.9 ns/op	    1153 B/op	       8 allocs/op
PASS
ok  	competitor/bench	57.236s
