goos: linux
goarch: amd64
pkg: competitor/bench/harness
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStatic_MuxMasterHandle-16             	53211289	        22.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic_MuxMasterHandle-16             	53228763	        22.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic_MuxMasterHandle-16             	52373208	        22.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic_MuxMasterFast-16               	54353244	        22.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic_MuxMasterFast-16               	54219116	        22.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic_MuxMasterFast-16               	54211246	        22.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic_HTTPRouterNative-16            	57388682	        20.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic_HTTPRouterNative-16            	57419750	        20.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic_HTTPRouterNative-16            	57230023	        20.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic_HTTPRouterStdlib-16            	50880434	        23.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic_HTTPRouterStdlib-16            	51518450	        23.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic_HTTPRouterStdlib-16            	50048828	        23.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic_BunRouterNative-16             	58334058	        20.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic_BunRouterNative-16             	58789537	        20.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic_BunRouterNative-16             	57699930	        20.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic_ChiStdlib-16                   	 5973583	       203.2 ns/op	     368 B/op	       2 allocs/op
BenchmarkStatic_ChiStdlib-16                   	 5871603	       202.2 ns/op	     368 B/op	       2 allocs/op
BenchmarkStatic_ChiStdlib-16                   	 5816002	       201.2 ns/op	     368 B/op	       2 allocs/op
BenchmarkParam1_MuxMasterHandle-16             	10304727	       118.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkParam1_MuxMasterHandle-16             	10252437	       117.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkParam1_MuxMasterHandle-16             	10219666	       118.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkParam1_MuxMasterFast-16               	21931338	        54.75 ns/op	      32 B/op	       1 allocs/op
BenchmarkParam1_MuxMasterFast-16               	21974478	        54.66 ns/op	      32 B/op	       1 allocs/op
BenchmarkParam1_MuxMasterFast-16               	20956654	        54.84 ns/op	      32 B/op	       1 allocs/op
BenchmarkParam1_HTTPRouterNative-16            	21272815	        54.28 ns/op	      64 B/op	       1 allocs/op
BenchmarkParam1_HTTPRouterNative-16            	22288844	        53.68 ns/op	      64 B/op	       1 allocs/op
BenchmarkParam1_HTTPRouterNative-16            	22203930	        53.51 ns/op	      64 B/op	       1 allocs/op
BenchmarkParam1_HTTPRouterStdlib-16            	 6686721	       178.6 ns/op	     456 B/op	       4 allocs/op
BenchmarkParam1_HTTPRouterStdlib-16            	 6763825	       177.7 ns/op	     456 B/op	       4 allocs/op
BenchmarkParam1_HTTPRouterStdlib-16            	 6686637	       179.0 ns/op	     456 B/op	       4 allocs/op
BenchmarkParam1_BunRouterNative-16             	39981925	        29.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam1_BunRouterNative-16             	40189260	        29.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam1_BunRouterNative-16             	40478228	        29.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam1_ChiStdlib-16                   	 3535338	       337.3 ns/op	     704 B/op	       4 allocs/op
BenchmarkParam1_ChiStdlib-16                   	 3554563	       334.8 ns/op	     704 B/op	       4 allocs/op
BenchmarkParam1_ChiStdlib-16                   	 3570547	       336.8 ns/op	     704 B/op	       4 allocs/op
BenchmarkParam2_MuxMasterHandle-16             	 8617194	       138.3 ns/op	     448 B/op	       1 allocs/op
BenchmarkParam2_MuxMasterHandle-16             	 8530092	       137.2 ns/op	     448 B/op	       1 allocs/op
BenchmarkParam2_MuxMasterHandle-16             	 8588176	       137.5 ns/op	     448 B/op	       1 allocs/op
BenchmarkParam2_MuxMasterFast-16               	16031994	        73.36 ns/op	      64 B/op	       1 allocs/op
BenchmarkParam2_MuxMasterFast-16               	16139064	        73.01 ns/op	      64 B/op	       1 allocs/op
BenchmarkParam2_MuxMasterFast-16               	16112472	        73.10 ns/op	      64 B/op	       1 allocs/op
BenchmarkParam2_HTTPRouterNative-16            	19676540	        60.06 ns/op	      64 B/op	       1 allocs/op
BenchmarkParam2_HTTPRouterNative-16            	20055248	        59.75 ns/op	      64 B/op	       1 allocs/op
BenchmarkParam2_HTTPRouterNative-16            	19940314	        59.91 ns/op	      64 B/op	       1 allocs/op
BenchmarkParam2_HTTPRouterStdlib-16            	 6575289	       186.4 ns/op	     456 B/op	       4 allocs/op
BenchmarkParam2_HTTPRouterStdlib-16            	 6471195	       186.7 ns/op	     456 B/op	       4 allocs/op
BenchmarkParam2_HTTPRouterStdlib-16            	 6371031	       187.1 ns/op	     456 B/op	       4 allocs/op
BenchmarkParam2_BunRouterNative-16             	29087528	        41.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam2_BunRouterNative-16             	29524278	        40.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam2_BunRouterNative-16             	28332744	        42.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam2_ChiStdlib-16                   	 3159294	       376.6 ns/op	     704 B/op	       4 allocs/op
BenchmarkParam2_ChiStdlib-16                   	 3207664	       374.4 ns/op	     704 B/op	       4 allocs/op
BenchmarkParam2_ChiStdlib-16                   	 3176456	       377.1 ns/op	     704 B/op	       4 allocs/op
BenchmarkParam3_MuxMasterHandle-16             	 7512729	       157.8 ns/op	     480 B/op	       1 allocs/op
BenchmarkParam3_MuxMasterHandle-16             	 7830745	       158.2 ns/op	     480 B/op	       1 allocs/op
BenchmarkParam3_MuxMasterHandle-16             	 7473146	       158.0 ns/op	     480 B/op	       1 allocs/op
BenchmarkParam3_MuxMasterFast-16               	14060217	        84.37 ns/op	      96 B/op	       1 allocs/op
BenchmarkParam3_MuxMasterFast-16               	14279692	        83.86 ns/op	      96 B/op	       1 allocs/op
BenchmarkParam3_MuxMasterFast-16               	14346475	        84.11 ns/op	      96 B/op	       1 allocs/op
BenchmarkParam3_HTTPRouterNative-16            	16713192	        72.14 ns/op	      96 B/op	       1 allocs/op
BenchmarkParam3_HTTPRouterNative-16            	16432788	        72.58 ns/op	      96 B/op	       1 allocs/op
BenchmarkParam3_HTTPRouterNative-16            	16055274	        72.32 ns/op	      96 B/op	       1 allocs/op
BenchmarkParam3_HTTPRouterStdlib-16            	 5945529	       198.4 ns/op	     488 B/op	       4 allocs/op
BenchmarkParam3_HTTPRouterStdlib-16            	 6017636	       197.9 ns/op	     488 B/op	       4 allocs/op
BenchmarkParam3_HTTPRouterStdlib-16            	 6208436	       203.1 ns/op	     488 B/op	       4 allocs/op
BenchmarkParam3_BunRouterNative-16             	24119524	        49.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam3_BunRouterNative-16             	24447200	        49.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam3_BunRouterNative-16             	24247783	        49.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkParam3_ChiStdlib-16                   	 2976523	       400.5 ns/op	     704 B/op	       4 allocs/op
BenchmarkParam3_ChiStdlib-16                   	 2966158	       400.1 ns/op	     704 B/op	       4 allocs/op
BenchmarkParam3_ChiStdlib-16                   	 2967938	       397.2 ns/op	     704 B/op	       4 allocs/op
BenchmarkCatchAll_MuxMasterHandle-16           	10061223	       120.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkCatchAll_MuxMasterHandle-16           	10118114	       121.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkCatchAll_MuxMasterHandle-16           	 9935674	       121.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkCatchAll_MuxMasterFast-16             	21345678	        57.30 ns/op	      32 B/op	       1 allocs/op
BenchmarkCatchAll_MuxMasterFast-16             	20781807	        57.78 ns/op	      32 B/op	       1 allocs/op
BenchmarkCatchAll_MuxMasterFast-16             	20790331	        57.47 ns/op	      32 B/op	       1 allocs/op
BenchmarkCatchAll_HTTPRouterNative-16          	23636805	        49.93 ns/op	      32 B/op	       1 allocs/op
BenchmarkCatchAll_HTTPRouterNative-16          	23305928	        50.77 ns/op	      32 B/op	       1 allocs/op
BenchmarkCatchAll_HTTPRouterNative-16          	23029440	        50.83 ns/op	      32 B/op	       1 allocs/op
BenchmarkCatchAll_HTTPRouterStdlib-16          	 6591463	       181.0 ns/op	     424 B/op	       4 allocs/op
BenchmarkCatchAll_HTTPRouterStdlib-16          	 6610035	       182.4 ns/op	     424 B/op	       4 allocs/op
BenchmarkCatchAll_HTTPRouterStdlib-16          	 6486720	       182.5 ns/op	     424 B/op	       4 allocs/op
BenchmarkCatchAll_BunRouterNative-16           	54041760	        22.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkCatchAll_BunRouterNative-16           	54069480	        22.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkCatchAll_BunRouterNative-16           	55184736	        22.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkCatchAll_ChiStdlib-16                 	 3745438	       321.0 ns/op	     704 B/op	       4 allocs/op
BenchmarkCatchAll_ChiStdlib-16                 	 3588484	       332.7 ns/op	     704 B/op	       4 allocs/op
BenchmarkCatchAll_ChiStdlib-16                 	 3492834	       334.4 ns/op	     704 B/op	       4 allocs/op
BenchmarkParallelStatic_MuxMasterHandle-16     	354638769	         3.462 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStatic_MuxMasterHandle-16     	348361171	         3.484 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStatic_MuxMasterHandle-16     	343766402	         3.494 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStatic_HTTPRouterNative-16    	360072278	         3.361 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStatic_HTTPRouterNative-16    	356337180	         3.387 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStatic_HTTPRouterNative-16    	362580771	         3.390 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStatic_BunRouterNative-16     	445923258	         2.688 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStatic_BunRouterNative-16     	439923928	         2.718 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStatic_BunRouterNative-16     	439831020	         2.687 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelParam1_MuxMasterHandle-16     	11022382	       111.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParam1_MuxMasterHandle-16     	11305610	       109.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParam1_MuxMasterHandle-16     	11038017	       108.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParam1_MuxMasterFast-16       	79433169	        16.23 ns/op	      32 B/op	       1 allocs/op
BenchmarkParallelParam1_MuxMasterFast-16       	78071721	        16.40 ns/op	      32 B/op	       1 allocs/op
BenchmarkParallelParam1_MuxMasterFast-16       	77269452	        16.15 ns/op	      32 B/op	       1 allocs/op
BenchmarkParallelParam1_HTTPRouterNative-16    	55173397	        22.51 ns/op	      64 B/op	       1 allocs/op
BenchmarkParallelParam1_HTTPRouterNative-16    	56788539	        22.69 ns/op	      64 B/op	       1 allocs/op
BenchmarkParallelParam1_HTTPRouterNative-16    	50635420	        22.58 ns/op	      64 B/op	       1 allocs/op
BenchmarkParallelParam1_HTTPRouterStdlib-16    	 8746170	       136.7 ns/op	     456 B/op	       4 allocs/op
BenchmarkParallelParam1_HTTPRouterStdlib-16    	 8667192	       141.9 ns/op	     456 B/op	       4 allocs/op
BenchmarkParallelParam1_HTTPRouterStdlib-16    	 8307286	       144.3 ns/op	     456 B/op	       4 allocs/op
BenchmarkParallelParam1_BunRouterNative-16     	280554039	         4.269 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelParam1_BunRouterNative-16     	276668301	         4.295 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelParam1_BunRouterNative-16     	273030356	         4.320 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelParam1_ChiStdlib-16           	 4873526	       244.3 ns/op	     704 B/op	       4 allocs/op
BenchmarkParallelParam1_ChiStdlib-16           	 4909809	       242.4 ns/op	     704 B/op	       4 allocs/op
BenchmarkParallelParam1_ChiStdlib-16           	 4999350	       248.8 ns/op	     704 B/op	       4 allocs/op
PASS
ok  	competitor/bench/harness	157.806s
