goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStaticRoute-16               	47466889	        26.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16               	47963522	        25.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16               	47248770	        25.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16               	43166809	        25.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16               	45146763	        25.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16               	45941686	        26.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16               	41694314	        25.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16               	44635753	        25.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16               	47105245	        25.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16               	46196515	        25.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16               	10305316	       120.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16               	 9881584	       122.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16               	 9520858	       121.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16               	 9594847	       120.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16               	 9938313	       120.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16               	 9968586	       121.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16               	 9480732	       120.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16               	 9977181	       121.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16               	 9976370	       120.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16               	 9899416	       121.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16               	 8551190	       142.7 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16               	 8516025	       141.9 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16               	 8096892	       142.3 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16               	 8530608	       142.3 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16               	 8684496	       142.2 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16               	 8229016	       142.2 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16               	 8232108	       139.7 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16               	 8329771	       144.8 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16               	 8442661	       141.0 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16               	 8446234	       141.9 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute3-16               	 8088117	       147.0 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16               	 8307627	       147.7 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16               	 8146188	       148.6 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16               	 8077627	       147.1 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16               	 8333746	       149.0 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16               	 8039893	       150.8 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16               	 7995244	       146.6 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16               	 7742577	       147.4 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16               	 8212528	       147.9 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16               	 8086854	       146.7 ns/op	     480 B/op	       1 allocs/op
BenchmarkWildcardRoute-16             	 9589284	       122.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16             	 9916730	       122.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16             	 9483014	       121.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16             	 9925718	       122.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16             	 9417399	       126.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16             	 9589723	       124.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16             	 9236353	       124.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16             	 9092552	       121.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16             	 9455980	       125.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16             	 9413926	      1201 ns/op	     416 B/op	       1 allocs/op
BenchmarkNotFound-16                  	 1462459	       862.3 ns/op	      93 B/op	       3 allocs/op
BenchmarkNotFound-16                  	 1228455	       838.4 ns/op	     102 B/op	       3 allocs/op
BenchmarkNotFound-16                  	 3740875	       327.2 ns/op	     119 B/op	       3 allocs/op
BenchmarkNotFound-16                  	 3854631	       331.0 ns/op	     117 B/op	       3 allocs/op
BenchmarkNotFound-16                  	 3615613	       345.5 ns/op	     122 B/op	       3 allocs/op
BenchmarkNotFound-16                  	 3871208	       332.7 ns/op	     117 B/op	       3 allocs/op
BenchmarkNotFound-16                  	 3790348	       335.5 ns/op	     118 B/op	       3 allocs/op
BenchmarkNotFound-16                  	 3871008	       337.9 ns/op	     117 B/op	       3 allocs/op
BenchmarkNotFound-16                  	 3708400	       334.3 ns/op	     120 B/op	       3 allocs/op
BenchmarkNotFound-16                  	 3954532	       321.1 ns/op	     115 B/op	       3 allocs/op
BenchmarkParallelStaticRoute-16       	285707796	         4.023 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16       	299243532	         4.061 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16       	305045862	         4.005 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16       	304357821	         4.049 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16       	298673728	         4.072 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16       	296165875	         3.983 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16       	294204102	         4.158 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16       	270660489	         4.241 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16       	294330858	         3.984 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16       	296465956	         4.045 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelParamRoute-16        	10205006	       114.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16        	10284378	       113.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16        	10374501	       115.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16        	10340125	       114.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16        	10445184	       114.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16        	10894304	       112.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16        	10608588	       112.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16        	10640563	       110.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16        	10548091	       112.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16        	10853556	       109.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkFastStaticRoute-16           	44373170	        27.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16           	45658950	        26.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16           	46964400	        26.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16           	46068578	        26.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16           	45207243	        26.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16           	45001339	        26.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16           	45712521	        26.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16           	45390326	        26.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16           	46892366	        27.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16           	45048652	        26.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastParamRoute1-16           	23594191	        52.90 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16           	23466164	        51.81 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16           	20814636	        52.73 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16           	20524887	        52.04 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16           	22210504	        52.59 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16           	21877500	        52.38 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16           	21944533	        52.51 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16           	22509778	        52.45 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16           	22291362	        53.50 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16           	22718721	        53.14 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16           	16456992	        71.98 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16           	16417302	        73.39 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16           	16352847	        71.41 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16           	16748166	        71.69 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16           	17435748	        81.66 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16           	11104104	       108.4 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16           	10835508	       110.1 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16           	10815931	       108.9 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16           	10825546	       111.1 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16           	10905998	       110.3 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16           	 9427984	       124.7 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16           	 9254758	       131.7 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16           	 9394062	       127.1 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16           	 9746895	       124.2 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16           	15116306	        78.13 ns/op	      96 B/op	       1 allocs/op
