goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkNotFoundClean-16                      	 3874452	       300.8 ns/op	     117 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                      	 4294068	       297.5 ns/op	     110 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                      	 4306539	       295.3 ns/op	     110 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                      	 4004133	       317.9 ns/op	     115 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                      	 3983029	       324.0 ns/op	     115 B/op	       3 allocs/op
BenchmarkNotFoundCustomHandler-16              	52373030	        22.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16              	56098400	        22.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16              	57632557	        21.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16              	57792678	        22.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16              	56896078	        22.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16    	 3576918	       343.4 ns/op	     123 B/op	       3 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16    	 3557623	       347.5 ns/op	     123 B/op	       3 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16    	 3591823	       343.8 ns/op	     122 B/op	       3 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16    	 3593061	       350.7 ns/op	     122 B/op	       3 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16    	 3806799	       319.0 ns/op	     118 B/op	       3 allocs/op
BenchmarkMethodNotAllowed-16                   	 2548902	       449.1 ns/op	     140 B/op	       6 allocs/op
BenchmarkMethodNotAllowed-16                   	 2685058	       446.3 ns/op	     138 B/op	       6 allocs/op
BenchmarkMethodNotAllowed-16                   	 2751320	       446.9 ns/op	     136 B/op	       6 allocs/op
BenchmarkMethodNotAllowed-16                   	 2616993	       440.0 ns/op	     139 B/op	       6 allocs/op
BenchmarkMethodNotAllowed-16                   	 2646048	       444.1 ns/op	     138 B/op	       6 allocs/op
BenchmarkOPTIONSAuto-16                        	 8121609	       160.7 ns/op	      40 B/op	       3 allocs/op
BenchmarkOPTIONSAuto-16                        	 7361664	       161.0 ns/op	      40 B/op	       3 allocs/op
