goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStaticRoute-16           	46196179	        25.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	47333562	        25.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	47396760	        25.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	47275476	        25.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	46292395	        25.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	47014813	        25.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	47087484	        25.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	46952373	        25.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	47079486	        25.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	47389575	        25.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16           	10986608	       111.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	10820685	       110.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	10655773	       111.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	10909164	       111.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	11048277	       111.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	10852399	       110.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	10787254	       110.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	10811943	       110.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	10533423	       110.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	10684839	       110.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8316904	       138.1 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8871302	       135.2 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8985850	       134.4 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8850892	       134.1 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8937230	       135.0 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8854245	       135.3 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8935302	       137.1 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8884207	       136.6 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8883958	       138.0 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8671122	       134.0 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8697366	       139.2 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8790567	       139.1 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8612733	       142.0 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8728972	       142.0 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8573799	       137.0 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8771822	       138.2 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8603397	       138.3 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8612713	       136.7 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8817750	       138.2 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8555834	       139.9 ns/op	     480 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	11056046	       109.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	11089214	       110.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	10518777	       111.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	10847205	       110.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	10789002	       110.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	10760414	       113.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	10767022	       112.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	10652484	       111.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	10585314	       109.8 ns/op	     416 B/op	       1 allocs/op
