goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStaticRoute-16               	43816000	        25.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16               	47578932	        25.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16               	47051245	        25.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16               	47114982	        25.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16               	47526681	        25.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16               	47737030	        25.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16               	46865538	        25.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16               	48020278	        25.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16               	47037591	        25.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16               	46737036	        25.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16               	10918456	       109.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16               	11029414	       108.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16               	11053518	       107.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16               	10910116	       108.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16               	11278729	       108.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16               	10834050	       108.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16               	10793350	       109.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16               	11314015	       108.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16               	10843411	       107.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16               	11412204	       109.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16               	 9288396	       130.9 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16               	 9145195	       129.9 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16               	 9443655	       129.4 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16               	 9303882	       128.0 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16               	 8596080	       133.1 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16               	 9220826	       131.2 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16               	 9463984	       129.0 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16               	 9246979	       129.5 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16               	 9512467	       129.8 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16               	 9452790	       129.0 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute3-16               	 8768347	       134.6 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16               	 8908689	       134.6 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16               	 8797021	       136.2 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16               	 8896552	       135.9 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16               	 8636032	       135.0 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16               	 8981702	       135.9 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16               	 8793927	       136.2 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16               	 8544495	       136.7 ns/op	     480 B/op	       1 allocs/op
