goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-lab-2026-09-24/harness
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkRequestIDParallel       	 5188735	       231.1 ns/op	     400 B/op	       2 allocs/op
BenchmarkRequestIDParallel       	 5193343	       230.7 ns/op	     400 B/op	       2 allocs/op
BenchmarkRequestIDParallel       	 5135143	       230.1 ns/op	     400 B/op	       2 allocs/op
BenchmarkRequestIDParallel       	 5195524	       232.4 ns/op	     400 B/op	       2 allocs/op
BenchmarkRequestIDParallel       	 5184980	       232.0 ns/op	     400 B/op	       2 allocs/op
BenchmarkRequestIDParallel       	 5114786	       232.3 ns/op	     400 B/op	       2 allocs/op
BenchmarkRequestIDParallel-4     	11838904	       100.8 ns/op	     400 B/op	       2 allocs/op
BenchmarkRequestIDParallel-4     	11592928	       101.5 ns/op	     400 B/op	       2 allocs/op
BenchmarkRequestIDParallel-4     	11970054	       100.9 ns/op	     400 B/op	       2 allocs/op
BenchmarkRequestIDParallel-4     	11723925	       102.5 ns/op	     400 B/op	       2 allocs/op
BenchmarkRequestIDParallel-4     	11995333	       102.9 ns/op	     400 B/op	       2 allocs/op
BenchmarkRequestIDParallel-4     	11031222	       102.5 ns/op	     400 B/op	       2 allocs/op
BenchmarkRequestIDParallel-16    	 9395818	       128.7 ns/op	     406 B/op	       2 allocs/op
BenchmarkRequestIDParallel-16    	 9276630	       130.4 ns/op	     406 B/op	       2 allocs/op
BenchmarkRequestIDParallel-16    	 9124922	       131.3 ns/op	     406 B/op	       2 allocs/op
BenchmarkRequestIDParallel-16    	 9089197	       131.8 ns/op	     406 B/op	       2 allocs/op
BenchmarkRequestIDParallel-16    	 9148711	       132.0 ns/op	     406 B/op	       2 allocs/op
BenchmarkRequestIDParallel-16    	 8841500	       132.2 ns/op	     406 B/op	       2 allocs/op
PASS
ok  	github.com/FlavioCFOliveira/MuxMaster/reports/perf-lab-2026-09-24/harness	24.398s
