2026/09/24 17:57:29 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:57:29 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:57:29 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:57:29 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:57:29 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:57:29 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:57:29 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:57:29 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStaticRoute-16            	48851918	        24.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	48702920	        24.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	49176445	        24.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	48439428	        24.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	48625594	        24.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	49133976	        24.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	48139494	        24.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	49015534	        24.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16            	 9358507	       126.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	 9405248	       128.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	 9318486	       126.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	 9369238	       128.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	 9301440	       127.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	 9453036	       128.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	 9407545	       128.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	 9222836	       129.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 8439925	       136.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 8607810	       140.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 8542782	       138.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 8533358	       137.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 8518846	       137.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 8553537	       137.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 8518402	       142.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 8547532	       141.2 ns/op	     416 B/op	       1 allocs/op
