2026/09/24 17:18:05 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:18:05 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:18:05 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:18:05 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:18:05 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:18:05 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:18:05 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:18:05 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:18:05 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:18:05 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStaticRoute-16            	48806114	        25.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	48960630	        24.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	48397120	        24.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	45827396	        24.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	49040144	        25.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	48279621	        24.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	48680004	        24.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	48242751	        27.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	48997352	        24.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	48182683	        25.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16            	 7492232	       137.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	 8737968	       141.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	 8966228	       130.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	 9171364	       130.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	 8778913	       159.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	 9141048	       130.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	 6732825	       184.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	 7391222	       579.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	 2193766	       568.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	 2112998	       633.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 1800740	       695.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 2293982	       527.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 2145332	       562.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 1929535	       580.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 2267239	       540.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 2103718	       574.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 2247806	       590.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 1908331	       579.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 2062572	       604.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 2035660	       666.7 ns/op	     416 B/op	       1 allocs/op
