2026/09/24 17:54:47 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:54:47 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:54:47 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:54:47 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:54:47 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:54:47 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:54:47 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:54:47 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStaticRoute-16            	48071736	        24.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	48858715	        24.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	48906696	        24.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	48818319	        24.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	48730950	        24.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	49147035	        24.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	49400257	        24.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	49493752	        24.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16            	 9820630	       112.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	10540804	       115.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	10496596	       114.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	10437328	       114.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	10349187	       114.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	10608648	       113.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	10379133	       115.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	10173078	       113.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 8781004	       132.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 9061518	       133.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 8984386	       134.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 8817351	       133.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 9000535	       132.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 8972034	       135.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 8970675	       134.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 8931861	       133.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute3-16            	 8042362	       153.3 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16            	 7836558	       152.4 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16            	 7799776	       152.5 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16            	 7864947	       155.3 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16            	 7829124	       152.3 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16            	 7580925	       151.8 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16            	 7842714	       154.8 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16            	 7700415	       150.7 ns/op	     480 B/op	       1 allocs/op
BenchmarkWildcardRoute-16          	10654897	       114.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16          	10358746	       114.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16          	10227360	       113.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16          	10524038	       114.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16          	10327018	       114.3 ns/op	     384 B/op	       1 allocs/op
