2026/09/24 17:14:47 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:14:47 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:14:47 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:14:47 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:14:47 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:14:47 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:14:47 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:14:47 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:14:47 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:14:47 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStaticRoute-16            	49111317	        24.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	49269048	        24.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	49541096	        24.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	48243934	        24.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	48828552	        24.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	48155236	        24.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	49225290	        24.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	47598796	        24.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	49008638	        24.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16            	48379236	        24.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16            	10677826	       113.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	10786578	       112.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	10523469	       114.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	10195800	       114.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	10465543	       114.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	10293854	       114.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	10524184	       113.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	10375171	       115.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	10581312	       115.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16            	10473128	       115.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 9252070	       132.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 9232780	       133.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 9074246	       132.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 9031627	       135.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 8937957	       132.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 8784918	       132.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 8859708	       134.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 8982512	       133.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 8771284	       132.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16            	 9262940	       133.9 ns/op	     416 B/op	       1 allocs/op
