2026/09/24 17:13:06 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:13:06 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:13:06 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:13:06 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:13:06 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
2026/09/24 17:13:06 WARN muxmaster: UseRawPath+UnescapePathValues enabled — captured path params may contain literal '/' from %2f decode. Handlers using params as filesystem/URL components MUST call path.Clean and reject values containing '..'. See SECURITY.md "UseRawPath traversal" (PRF-2026-0002).
goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStaticRoute-16                 	 9741812	        24.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	 9806869	        24.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	10005931	        24.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	 9685742	        24.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	 9690085	        24.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	 9770536	        24.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16                 	 2115480	       111.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	 2122418	       113.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	 2095162	       114.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	 2069074	       115.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	 2119065	       113.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	 2108060	       114.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 1796070	       131.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 1820335	       130.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 1786164	       132.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 1791871	       134.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 1790611	       132.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 1829190	       132.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 1564652	       151.5 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 1594086	       152.7 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 1577890	       152.3 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 1599548	       152.5 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 1576038	       152.6 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 1583298	       156.2 ns/op	     480 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	 2070819	       113.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	 2146357	       112.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	 2152003	       114.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	 2087272	       114.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	 2125190	       115.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	 2103450	       114.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkNotFound-16                    	  999714	       233.0 ns/op	     115 B/op	       3 allocs/op
BenchmarkNotFound-16                    	 1000000	       228.1 ns/op	     115 B/op	       3 allocs/op
BenchmarkNotFound-16                    	 1000000	       228.6 ns/op	     115 B/op	       3 allocs/op
BenchmarkNotFound-16                    	 1000000	       227.4 ns/op	     115 B/op	       3 allocs/op
BenchmarkNotFound-16                    	 1000000	       227.1 ns/op	     115 B/op	       3 allocs/op
BenchmarkNotFound-16                    	 1000000	       228.0 ns/op	     115 B/op	       3 allocs/op
BenchmarkParallelStaticRoute-16         	68822689	         3.490 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	64569363	         3.562 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	58115601	         3.564 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	61242518	         3.599 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	63570752	         3.643 ns/op	       0 B/op	       0 allocs/op
