goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-lab-2026-09-24/waste-hunt/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkAPIKeyHit/current-16                      	 2404353	       493.3 ns/op	     448 B/op	       7 allocs/op
BenchmarkAPIKeyHit/current-16                      	 2406872	       499.3 ns/op	     448 B/op	       7 allocs/op
BenchmarkAPIKeyHit/current-16                      	 2437747	       497.7 ns/op	     448 B/op	       7 allocs/op
BenchmarkAPIKeyHit/current-16                      	 2395988	       496.9 ns/op	     448 B/op	       7 allocs/op
BenchmarkAPIKeyHit/current-16                      	 2451478	       498.8 ns/op	     448 B/op	       7 allocs/op
BenchmarkAPIKeyHit/current-16                      	 2413341	       494.7 ns/op	     448 B/op	       7 allocs/op
BenchmarkAPIKeyHit/current-16                      	 2435295	       494.7 ns/op	     448 B/op	       7 allocs/op
BenchmarkAPIKeyHit/current-16                      	 2420768	       494.9 ns/op	     448 B/op	       7 allocs/op
BenchmarkAPIKeyHit/current-16                      	 2432942	       496.4 ns/op	     448 B/op	       7 allocs/op
BenchmarkAPIKeyHit/current-16                      	 2426652	       495.0 ns/op	     448 B/op	       7 allocs/op
BenchmarkAPIKeyHit/alternative-16                  	 2507960	       478.4 ns/op	     416 B/op	       6 allocs/op
BenchmarkAPIKeyHit/alternative-16                  	 2509881	       486.3 ns/op	     416 B/op	       6 allocs/op
BenchmarkAPIKeyHit/alternative-16                  	 2408137	       478.2 ns/op	     416 B/op	       6 allocs/op
BenchmarkAPIKeyHit/alternative-16                  	 2484194	       480.9 ns/op	     416 B/op	       6 allocs/op
BenchmarkAPIKeyHit/alternative-16                  	 2497278	       481.5 ns/op	     416 B/op	       6 allocs/op
BenchmarkAPIKeyHit/alternative-16                  	 2498852	       479.4 ns/op	     416 B/op	       6 allocs/op
BenchmarkAPIKeyHit/alternative-16                  	 2502972	       476.8 ns/op	     416 B/op	       6 allocs/op
BenchmarkAPIKeyHit/alternative-16                  	 2467725	       478.3 ns/op	     416 B/op	       6 allocs/op
BenchmarkAPIKeyHit/alternative-16                  	 2499385	       477.6 ns/op	     416 B/op	       6 allocs/op
BenchmarkAPIKeyHit/alternative-16                  	 2487284	       478.3 ns/op	     416 B/op	       6 allocs/op
BenchmarkJWTAuthHS256-16                           	  239012	      4867 ns/op	     946 B/op	      10 allocs/op
