File: authn
Build ID: 177bc15842168f726bd14698a8a6416880d5e82e
Type: cpu
Time: 2026-09-24 19:49:52 WEST
Duration: 10s, Total samples = 64.26s (642.59%)
Showing nodes accounting for 49.02s, 76.28% of 64.26s total
Dropped 703 nodes (cum <= 0.32s)
Showing top 40 nodes out of 156
      flat  flat%   sum%        cum   cum%
    15.19s 23.64% 23.64%     15.19s 23.64%  time.runtimeNow
    12.97s 20.18% 43.82%     12.97s 20.18%  internal/runtime/syscall/linux.Syscall6
    11.62s 18.08% 61.90%     11.62s 18.08%  runtime.nanotime (inline)
     1.96s  3.05% 64.95%      1.96s  3.05%  runtime.usleep
     1.63s  2.54% 67.49%      1.63s  2.54%  runtime.futex
     0.42s  0.65% 68.15%      0.42s  0.65%  runtime.procyieldAsm
     0.36s  0.56% 68.71%      0.59s  0.92%  runtime.tryDeferToSpanScan
     0.33s  0.51% 69.22%      0.33s  0.51%  runtime.memmove
     0.26s   0.4% 69.62%      1.22s  1.90%  runtime.lock2
     0.24s  0.37% 70.00%      4.31s  6.71%  internal/poll.runtime_pollSetDeadline
     0.24s  0.37% 70.37%      2.59s  4.03%  runtime.stealWork
     0.22s  0.34% 70.71%     10.35s 16.11%  runtime.findRunnable
     0.21s  0.33% 71.04%      2.19s  3.41%  runtime.runqgrab
     0.19s   0.3% 71.34%      0.35s  0.54%  sync.(*Pool).Get
     0.19s   0.3% 71.63%      0.47s  0.73%  time.Time.appendFormat
     0.17s  0.26% 71.90%     11.28s 17.55%  net/http.(*conn).readRequest
     0.16s  0.25% 72.14%      0.42s  0.65%  runtime.scanObjectsSmall
     0.15s  0.23% 72.38%      0.78s  1.21%  encoding/json/v2.makeMapArshaler.func2
     0.15s  0.23% 72.61%      0.50s  0.78%  net/textproto.canonicalMIMEHeaderKey
     0.15s  0.23% 72.84%      2.25s  3.50%  runtime.mallocgc
     0.15s  0.23% 73.08%      0.56s  0.87%  runtime.mapaccess2_faststr
     0.14s  0.22% 73.30%      3.04s  4.73%  net/http.(*chunkWriter).writeHeader
     0.14s  0.22% 73.51%      0.35s  0.54%  runtime.unlock2
     0.13s   0.2% 73.72%     49.34s 76.78%  net/http.(*conn).serve
     0.13s   0.2% 73.92%      1.05s  1.63%  runtime.casgstatus
     0.12s  0.19% 74.11%      8.70s 13.54%  github.com/FlavioCFOliveira/MuxMaster/middleware.Logger.func1.1
     0.12s  0.19% 74.29%         9s 14.01%  internal/poll.setDeadlineImpl
     0.12s  0.19% 74.48%      0.61s  0.95%  net/http.Header.writeSubset
     0.12s  0.19% 74.67%     15.31s 23.83%  time.Now
     0.11s  0.17% 74.84%      3.23s  5.03%  net/http.readRequestLimit
     0.11s  0.17% 75.01%     11.22s 17.46%  runtime.schedule
     0.10s  0.16% 75.16%      0.36s  0.56%  net/http.readTransfer
     0.10s  0.16% 75.32%      1.42s  2.21%  net/textproto.readMIMEHeader
     0.10s  0.16% 75.47%      1.10s  1.71%  runtime.newobject
     0.09s  0.14% 75.61%      9.21s 14.33%  github.com/FlavioCFOliveira/MuxMaster/middleware.RequestID.func1.1
     0.09s  0.14% 75.75%      2.48s  3.86%  net/http.(*connReader).Read
     0.09s  0.14% 75.89%      9.23s 14.36%  net/http.HandlerFunc.ServeHTTP
     0.09s  0.14% 76.03%      0.42s  0.65%  runtime.(*timer).modify
     0.08s  0.12% 76.16%      1.61s  2.51%  net/http.(*connReader).backgroundRead
     0.08s  0.12% 76.28%     14.59s 22.70%  net/http.(*response).finishRequest
