File: jwt
Build ID: 93299d6c1fa786cd14730e9e77d44b2bbb143955
Type: cpu
Time: 2026-09-24 19:50:37 WEST
Duration: 10s, Total samples = 67.92s (679.18%)
Active filters:
   focus=FlavioCFOliveira/MuxMaster
Showing nodes accounting for 9.34s, 13.75% of 67.92s total
Dropped 351 nodes (cum <= 0.34s)
Showing top 60 nodes out of 179
      flat  flat%   sum%        cum   cum%
     4.10s  6.04%  6.04%      4.10s  6.04%  time.runtimeNow
     0.65s  0.96%  6.99%      0.65s  0.96%  runtime.nanotime (inline)
     0.35s  0.52%  7.51%      0.35s  0.52%  internal/runtime/syscall/linux.Syscall6
     0.21s  0.31%  7.82%      0.21s  0.31%  runtime.memmove
     0.18s  0.27%  8.08%      1.23s  1.81%  encoding/json/v2.makeStructArshaler.func3
     0.15s  0.22%  8.30%      0.15s  0.22%  internal/runtime/maps.memHashAES
     0.14s  0.21%  8.51%      0.26s  0.38%  encoding/base64.(*Encoding).Decode
     0.14s  0.21%  8.72%      0.15s  0.22%  encoding/json/internal/jsonwire.AppendQuote
     0.14s  0.21%  8.92%      0.45s  0.66%  encoding/json/jsontext.(*decoderState).consumeValue
     0.14s  0.21%  9.13%      0.29s  0.43%  runtime.mallocgcSmallScanNoHeaderSC2
     0.12s  0.18%  9.31%      0.29s  0.43%  encoding/json/jsontext.(*decoderState).consumeObject
     0.12s  0.18%  9.48%      0.24s  0.35%  internal/runtime/maps.(*Map).getWithoutKeySmallFastStr
     0.12s  0.18%  9.66%      0.23s  0.34%  internal/sync.(*HashTrieMap[go.shape.interface {},go.shape.interface {}]).Load
     0.11s  0.16%  9.82%      0.20s  0.29%  runtime.tryDeferToSpanScan
     0.10s  0.15%  9.97%      0.10s  0.15%  encoding/base64.(*Encoding).decodeQuantum
     0.10s  0.15% 10.11%      0.17s  0.25%  encoding/json/jsontext.(*decoderState).PeekKind
     0.10s  0.15% 10.26%      0.16s  0.24%  encoding/json/jsontext.(*decoderState).ReadToken
     0.10s  0.15% 10.41%      0.31s  0.46%  encoding/json/jsontext.(*encoderState).WriteToken
     0.10s  0.15% 10.56%      0.10s  0.15%  runtime.memclrNoHeapPointers
     0.10s  0.15% 10.70%      0.10s  0.15%  runtime.nextFreeFast (inline)
     0.09s  0.13% 10.84%      0.24s  0.35%  encoding/json/jsontext.(*decoderState).ReadValue
     0.09s  0.13% 10.97%      1.27s  1.87%  encoding/json/v2.makeMapArshaler.func2
     0.09s  0.13% 11.10%     13.25s 19.51%  github.com/FlavioCFOliveira/MuxMaster/middleware.Logger.func1.1
     0.09s  0.13% 11.23%      1.56s  2.30%  runtime.mallocgc
     0.08s  0.12% 11.35%      0.09s  0.13%  encoding/json/internal/jsonwire.ConsumeWhitespace (inline)
     0.08s  0.12% 11.47%      0.15s  0.22%  github.com/FlavioCFOliveira/MuxMaster/middleware.nextRandomID
     0.07s   0.1% 11.57%      0.10s  0.15%  crypto/internal/fips140/hmac.(*HMAC).Reset
     0.07s   0.1% 11.68%     13.96s 20.55%  net/http.HandlerFunc.ServeHTTP
