File: jwt
Build ID: 93299d6c1fa786cd14730e9e77d44b2bbb143955
Type: cpu
Time: 2026-09-24 19:50:37 WEST
Duration: 10s, Total samples = 67.92s (679.18%)
Showing nodes accounting for 48.11s, 70.83% of 67.92s total
Dropped 788 nodes (cum <= 0.34s)
Showing top 40 nodes out of 172
      flat  flat%   sum%        cum   cum%
    15.56s 22.91% 22.91%     15.56s 22.91%  time.runtimeNow
    12.39s 18.24% 41.15%     12.39s 18.24%  internal/runtime/syscall/linux.Syscall6
    11.02s 16.22% 57.38%     11.02s 16.22%  runtime.nanotime (inline)
     1.54s  2.27% 59.64%      1.54s  2.27%  runtime.usleep
     1.53s  2.25% 61.90%      1.53s  2.25%  runtime.futex
     0.48s  0.71% 62.60%      0.96s  1.41%  runtime.tryDeferToSpanScan
     0.47s  0.69% 63.30%      0.47s  0.69%  runtime.procyieldAsm
     0.45s  0.66% 63.96%      0.78s  1.15%  runtime.scanObjectsSmall
     0.27s   0.4% 64.36%      0.39s  0.57%  runtime.typePointers.next
     0.25s  0.37% 64.72%      0.46s  0.68%  internal/runtime/maps.(*Map).getWithoutKeySmallFastStr
     0.22s  0.32% 65.05%      0.50s  0.74%  runtime.mallocgcSmallScanNoHeaderSC2
     0.20s  0.29% 65.34%      3.97s  5.85%  internal/poll.runtime_pollSetDeadline
     0.20s  0.29% 65.64%      2.93s  4.31%  runtime.mallocgc
     0.20s  0.29% 65.93%      1.80s  2.65%  runtime.runqgrab
     0.20s  0.29% 66.22%      2.20s  3.24%  runtime.stealWork
     0.19s  0.28% 66.50%      1.23s  1.81%  runtime.lock2
     0.18s  0.27% 66.77%      1.23s  1.81%  encoding/json/v2.makeStructArshaler.func3
     0.17s  0.25% 67.02%      0.85s  1.25%  runtime.scanObject
     0.17s  0.25% 67.27%      0.39s  0.57%  runtime.scanblock
     0.16s  0.24% 67.51%     10.85s 15.97%  net/http.(*conn).readRequest
     0.14s  0.21% 67.71%      0.45s  0.66%  encoding/json/jsontext.(*decoderState).consumeValue
     0.14s  0.21% 67.92%     15.70s 23.12%  time.Now
     0.13s  0.19% 68.11%      8.64s 12.72%  internal/poll.setDeadlineImpl
     0.13s  0.19% 68.30%     52.83s 77.78%  net/http.(*conn).serve
     0.13s  0.19% 68.49%      1.06s  1.56%  runtime.mallocgcSmallScanSlowPath
     0.13s  0.19% 68.68%      0.69s  1.02%  runtime.mapaccess2_faststr
     0.12s  0.18% 68.86%      0.93s  1.37%  runtime.mallocgcSmallScanNoHeader
     0.12s  0.18% 69.04%      0.86s  1.27%  runtime.mallocgcSmallScanNoHeaderSC7
     0.12s  0.18% 69.21%      1.04s  1.53%  runtime.markroot
     0.12s  0.18% 69.39%      0.41s   0.6%  sync.(*Pool).Get
     0.12s  0.18% 69.57%      0.41s   0.6%  time.Time.appendFormat
     0.10s  0.15% 69.71%      7.09s 10.44%  net.(*conn).SetReadDeadline
     0.10s  0.15% 69.86%      3.07s  4.52%  net/http.(*chunkWriter).writeHeader
     0.10s  0.15% 70.01%      0.37s  0.54%  runtime.(*timer).modify
     0.10s  0.15% 70.16%      1.22s  1.80%  runtime.newobject
     0.10s  0.15% 70.30%     11.58s 17.05%  syscall.RawSyscall6
     0.09s  0.13% 70.44%      1.27s  1.87%  encoding/json/v2.makeMapArshaler.func2
     0.09s  0.13% 70.57%     13.25s 19.51%  github.com/FlavioCFOliveira/MuxMaster/middleware.Logger.func1.1
     0.09s  0.13% 70.70%      0.61s   0.9%  net/http.Header.writeSubset
     0.09s  0.13% 70.83%      0.75s  1.10%  runtime.casgstatus
