File: max-performance
Build ID: 80541f5b6e341bc03814fb3fdbbdae6838456c2e
Type: cpu
Time: 2026-09-24 19:53:42 WEST
Duration: 10s, Total samples = 64.75s (647.47%)
Showing nodes accounting for 48.20s, 74.44% of 64.75s total
Dropped 822 nodes (cum <= 0.32s)
Showing top 40 nodes out of 152
      flat  flat%   sum%        cum   cum%
    14.99s 23.15% 23.15%     14.99s 23.15%  time.runtimeNow
    14.13s 21.82% 44.97%     14.13s 21.82%  internal/runtime/syscall/linux.Syscall6
    11.27s 17.41% 62.38%     11.27s 17.41%  runtime.nanotime (inline)
     1.57s  2.42% 64.80%      1.57s  2.42%  runtime.usleep
     1.39s  2.15% 66.95%      1.39s  2.15%  runtime.futex
     0.39s   0.6% 67.55%      0.72s  1.11%  runtime.tryDeferToSpanScan
     0.26s   0.4% 67.95%      0.55s  0.85%  runtime.scanObjectsSmall
     0.24s  0.37% 68.32%      2.22s  3.43%  runtime.stealWork
     0.23s  0.36% 68.68%      3.58s  5.53%  net/http.(*chunkWriter).writeHeader
     0.21s  0.32% 69.00%      3.89s  6.01%  internal/poll.runtime_pollSetDeadline
     0.18s  0.28% 69.28%     11.11s 17.16%  net/http.(*conn).readRequest
     0.17s  0.26% 69.54%      1.76s  2.72%  runtime.runqgrab
     0.16s  0.25% 69.79%      2.46s  3.80%  runtime.mallocgc
     0.15s  0.23% 70.02%      0.87s  1.34%  runtime.lock2
     0.15s  0.23% 70.25%      0.39s   0.6%  time.Time.appendFormat
     0.14s  0.22% 70.47%      9.72s 15.01%  runtime.findRunnable
     0.14s  0.22% 70.69%      0.61s  0.94%  runtime.mallocgcSmallScanNoHeaderSC7
     0.14s  0.22% 70.90%      1.28s  1.98%  runtime.netpoll
     0.14s  0.22% 71.12%     10.49s 16.20%  runtime.schedule
     0.14s  0.22% 71.34%      0.36s  0.56%  runtime.unlock2
     0.14s  0.22% 71.55%     15.14s 23.38%  time.Now
     0.13s   0.2% 71.75%      8.91s 13.76%  internal/poll.setDeadlineImpl
     0.13s   0.2% 71.95%     49.25s 76.06%  net/http.(*conn).serve
     0.13s   0.2% 72.15%      0.38s  0.59%  runtime.mapaccess2_faststr
     0.12s  0.19% 72.34%      0.69s  1.07%  runtime.mallocgcSmallScanSlowPath
     0.12s  0.19% 72.53%      0.60s  0.93%  runtime.scanObject
     0.12s  0.19% 72.71%      0.37s  0.57%  runtime.wbBufFlush1
     0.12s  0.19% 72.90%      0.40s  0.62%  sync.(*Pool).Get
     0.11s  0.17% 73.07%      0.89s  1.37%  runtime.mallocgcSmallScanNoHeader
     0.10s  0.15% 73.22%      3.10s  4.79%  runtime.(*timers).check
     0.09s  0.14% 73.36%      3.13s  4.83%  net/http.readRequestLimit
     0.09s  0.14% 73.50%      1.23s  1.90%  runtime.newobject
     0.08s  0.12% 73.62%      5.52s  8.53%  github.com/FlavioCFOliveira/MuxMaster/middleware.Logger.func1.1
     0.08s  0.12% 73.75%      8.32s 12.85%  net/http.HandlerFunc.ServeHTTP
     0.08s  0.12% 73.87%      0.37s  0.57%  net/http.Header.writeSubset
     0.08s  0.12% 73.99%      0.83s  1.28%  runtime.casgstatus
     0.08s  0.12% 74.12%      0.81s  1.25%  runtime.markroot
     0.07s  0.11% 74.22%      1.02s  1.58%  encoding/json/v2.makeMapArshaler.func2
     0.07s  0.11% 74.33%      3.44s  5.31%  internal/poll.(*FD).Read
     0.07s  0.11% 74.44%      2.92s  4.51%  net/http.(*connReader).Read
