File: reverse-proxy
Build ID: abfed2559a9f102901351053e0e2eac26d73a4cf
Type: cpu
Time: 2026-09-24 19:51:37 WEST
Duration: 10s, Total samples = 68.45s (684.46%)
Showing nodes accounting for 35.74s, 52.21% of 68.45s total
Dropped 844 nodes (cum <= 0.34s)
Showing top 70 nodes out of 287
      flat  flat%   sum%        cum   cum%
     0.06s 0.088% 0.088%     22.63s 33.06%  net/http.(*conn).serve
    20.63s 30.14% 30.23%     20.63s 30.14%  internal/runtime/syscall/linux.Syscall6
     0.07s   0.1% 30.33%     19.20s 28.05%  syscall.RawSyscall6
     0.07s   0.1% 30.43%     17.89s 26.14%  syscall.Syscall
     0.04s 0.058% 30.49%     14.06s 20.54%  runtime.systemstack
         0     0% 30.49%     12.34s 18.03%  net/http.(*Transport).startDialConnForLocked.func1
     0.02s 0.029% 30.52%     12.32s 18.00%  net/http.(*Transport).dialConnFor
     0.03s 0.044% 30.56%     11.75s 17.17%  net/http.(*Transport).dialConn
         0     0% 30.56%     10.89s 15.91%  internal/poll.ignoringEINTRIO (inline)
     0.02s 0.029% 30.59%     10.85s 15.85%  net/http.(*Transport).dial
     0.01s 0.015% 30.61%     10.83s 15.82%  net.(*Dialer).DialContext
     0.15s  0.22% 30.83%     10.52s 15.37%  runtime.schedule
     0.04s 0.058% 30.88%     10.20s 14.90%  runtime.mcall
     0.14s   0.2% 31.09%      9.23s 13.48%  runtime.findRunnable
     0.01s 0.015% 31.10%      9.21s 13.46%  net.(*sysDialer).dialParallel
     0.02s 0.029% 31.13%      9.20s 13.44%  net.(*sysDialer).dialSerial
     0.01s 0.015% 31.15%      9.09s 13.28%  net/http.serverHandler.ServeHTTP
     0.01s 0.015% 31.16%      9.08s 13.27%  github.com/FlavioCFOliveira/MuxMaster.(*Mux).ServeHTTP
     0.08s  0.12% 31.28%      9.07s 13.25%  net/http.HandlerFunc.ServeHTTP
     0.04s 0.058% 31.34%      9.06s 13.24%  github.com/FlavioCFOliveira/MuxMaster/middleware.RequestID.func1.1
     0.03s 0.044% 31.38%         9s 13.15%  bufio.(*Writer).Flush
         0     0% 31.38%      8.83s 12.90%  net.(*sysDialer).dialSingle
         0     0% 31.38%      8.80s 12.86%  net.(*sysDialer).dialTCP
         0     0% 31.38%      8.80s 12.86%  net.(*sysDialer).doDialTCP (inline)
     0.02s 0.029% 31.41%      8.80s 12.86%  net.(*sysDialer).doDialTCPProto
     0.07s   0.1% 31.51%      8.57s 12.52%  net.(*conn).Write
         0     0% 31.51%      8.50s 12.42%  net.(*netFD).Write
     0.02s 0.029% 31.54%      8.49s 12.40%  internal/poll.(*FD).Write
         0     0% 31.54%      8.43s 12.32%  syscall.Write (inline)
     0.01s 0.015% 31.56%      8.43s 12.32%  syscall.write
     0.02s 0.029% 31.59%      8.40s 12.27%  runtime.park_m
     8.26s 12.07% 43.65%      8.26s 12.07%  runtime.nanotime (inline)
     0.01s 0.015% 43.67%      8.23s 12.02%  github.com/FlavioCFOliveira/MuxMaster/middleware.RecovererWithLogger.func1.1
     0.02s 0.029% 43.70%      8.19s 11.96%  github.com/FlavioCFOliveira/MuxMaster.(*Mux).Pre.func1
