File: server-side-render
Build ID: d9827cd5156412e6ee7ac09211b247c8c7787dbd
Type: cpu
Time: 2026-09-24 19:52:09 WEST
Duration: 10s, Total samples = 71.99s (719.79%)
Active filters:
   focus=FlavioCFOliveira/MuxMaster
Showing nodes accounting for 12.78s, 17.75% of 71.99s total
Dropped 442 nodes (cum <= 0.36s)
Showing top 60 nodes out of 186
      flat  flat%   sum%        cum   cum%
     3.85s  5.35%  5.35%      3.85s  5.35%  time.runtimeNow
     0.95s  1.32%  6.67%      0.95s  1.32%  runtime.nanotime (inline)
     0.90s  1.25%  7.92%      4.15s  5.76%  reflect.Value.call
     0.57s  0.79%  8.71%      0.57s  0.79%  internal/runtime/syscall/linux.Syscall6
     0.41s  0.57%  9.28%      0.41s  0.57%  runtime.memmove
     0.39s  0.54%  9.82%     11.56s 16.06%  text/template.(*state).walk
     0.28s  0.39% 10.21%      0.39s  0.54%  runtime.tryDeferToSpanScan
     0.26s  0.36% 10.57%      6.18s  8.58%  text/template.(*state).evalCall
     0.22s  0.31% 10.88%      1.61s  2.24%  runtime.mallocgc
     0.22s  0.31% 11.18%      7.61s 10.57%  text/template.(*state).evalPipeline
     0.22s  0.31% 11.49%      0.42s  0.58%  time.Time.appendFormat
     0.21s  0.29% 11.78%      7.37s 10.24%  text/template.(*state).evalCommand
     0.20s  0.28% 12.06%      0.66s  0.92%  runtime.mallocgcSmallScanNoHeaderSC3
     0.19s  0.26% 12.32%      0.23s  0.32%  runtime.step
     0.18s  0.25% 12.57%      0.66s  0.92%  runtime.mallocgcSmallScanSlowPath
     0.17s  0.24% 12.81%      0.37s  0.51%  runtime.mallocgcSmallScanNoHeaderSC2
     0.15s  0.21% 13.02%      0.35s  0.49%  reflect.funcLayout
     0.15s  0.21% 13.22%      0.40s  0.56%  runtime.pcvalue
     0.14s  0.19% 13.42%      0.18s  0.25%  runtime.mallocgcSmallScanNoHeaderSC4
     0.14s  0.19% 13.61%      0.29s   0.4%  sync.(*Pool).Get
     0.12s  0.17% 13.78%     19.67s 27.32%  github.com/FlavioCFOliveira/MuxMaster/middleware.Logger.func1.1
     0.12s  0.17% 13.95%      0.12s  0.17%  internal/runtime/maps.memHashAES
     0.12s  0.17% 14.11%      0.43s   0.6%  reflect.(*structType).FieldByName
     0.12s  0.17% 14.28%      0.88s  1.22%  text/template.(*state).evalField
     0.11s  0.15% 14.43%     20.65s 28.68%  github.com/FlavioCFOliveira/MuxMaster.(*Mux).ServeHTTP
     0.11s  0.15% 14.59%      0.11s  0.15%  runtime.ifaceeq
     0.11s  0.15% 14.74%      0.30s  0.42%  runtime.mallocgcSmallScanNoHeaderSC5
     0.11s  0.15% 14.89%      0.40s  0.56%  runtime.mapaccess2_faststr
     0.10s  0.14% 15.03%      0.24s  0.33%  html/template.htmlReplacer
     0.09s  0.13% 15.15%      0.14s  0.19%  internal/runtime/maps.(*Map).getWithoutKeySmallFastStr
     0.09s  0.13% 15.28%      0.60s  0.83%  runtime.makeslice
     0.09s  0.13% 15.40%      0.18s  0.25%  runtime.mallocgcTinySC2
     0.09s  0.13% 15.53%      4.29s  5.96%  text/template.safeCall
     0.08s  0.11% 15.64%      0.22s  0.31%  html/template.stringify
     0.08s  0.11% 15.75%      0.14s  0.19%  reflect.(*rtype).Elem
     0.07s 0.097% 15.85%      0.41s  0.57%  gcWriteBarrier
     0.07s 0.097% 15.95%      0.11s  0.15%  net/http.(*conn).hijacked
     0.07s 0.097% 16.04%     20.53s 28.52%  net/http.HandlerFunc.ServeHTTP
     0.07s 0.097% 16.14%      0.50s  0.69%  reflect.(*rtype).FieldByName
     0.07s 0.097% 16.24%      0.23s  0.32%  text/template.(*state).evalEmptyInterface
     0.06s 0.083% 16.32%      2.29s  3.18%  net/http.(*chunkWriter).writeHeader
     0.06s 0.083% 16.41%      0.29s   0.4%  net/http.Header.sortedKeyValues
     0.06s 0.083% 16.49%      0.93s  1.29%  os.(*File).Write
     0.06s 0.083% 16.57%      0.14s  0.19%  reflect.Value.assignTo
     0.06s 0.083% 16.66%      0.15s  0.21%  runtime.reflectcallmove
     0.06s 0.083% 16.74%      0.11s  0.15%  runtime.typedmemmove
     0.06s 0.083% 16.82%      0.45s  0.63%  runtime.wbBufFlush1
     0.06s 0.083% 16.91%      0.14s  0.19%  text/template.isMissing
     0.06s 0.083% 16.99%      3.91s  5.43%  time.Now
     0.05s 0.069% 17.06%      2.81s  3.90%  bufio.(*Writer).Write
     0.05s 0.069% 17.13%     20.42s 28.37%  github.com/FlavioCFOliveira/MuxMaster.(*Mux).dispatch
     0.05s 0.069% 17.20%     20.22s 28.09%  github.com/FlavioCFOliveira/MuxMaster/middleware.RequestID.func1.1
     0.05s 0.069% 17.27%      0.14s  0.19%  github.com/FlavioCFOliveira/MuxMaster/middleware.nextRandomID
     0.05s 0.069% 17.34%      0.13s  0.18%  internal/runtime/maps.(*Iter).Init
     0.05s 0.069% 17.41%      0.22s  0.31%  internal/sync.(*HashTrieMap[go.shape.interface {},go.shape.interface {}]).Load
     0.05s 0.069% 17.47%      0.17s  0.24%  reflect.(*rtype).AssignableTo
     0.05s 0.069% 17.54%      0.69s  0.96%  reflect.MakeSlice
     0.05s 0.069% 17.61%      0.23s  0.32%  reflect.unsafe_New
     0.05s 0.069% 17.68%      0.36s   0.5%  runtime.mapaccess1_faststr
     0.05s 0.069% 17.75%      0.40s  0.56%  runtime.newarray
