File: upload-file
Build ID: 76671e74dc807238a9e4c7b770f63a5cd009d415
Type: cpu
Time: 2026-09-24 19:52:39 WEST
Duration: 10.01s, Total samples = 71.80s (717.61%)
Active filters:
   focus=FlavioCFOliveira/MuxMaster
Showing nodes accounting for 43.01s, 59.90% of 71.80s total
Dropped 454 nodes (cum <= 0.36s)
Showing top 60 nodes out of 125
      flat  flat%   sum%        cum   cum%
    22.82s 31.78% 31.78%     22.82s 31.78%  internal/runtime/syscall/linux.Syscall6
     6.89s  9.60% 41.38%      6.89s  9.60%  runtime.memclrNoHeapPointers
     4.26s  5.93% 47.31%      4.26s  5.93%  internal/bytealg.LastIndexByte (inline)
     3.10s  4.32% 51.63%      3.10s  4.32%  crypto/internal/fips140/sha256.blockSHANI
     2.98s  4.15% 55.78%      2.98s  4.15%  runtime.memmove
     0.26s  0.36% 56.14%      0.26s  0.36%  runtime.(*fixalloc).alloc
     0.26s  0.36% 56.50%      0.26s  0.36%  runtime.nextFreeFast (inline)
     0.19s  0.26% 56.77%     12.98s 18.08%  mime/multipart.partReader.Read
     0.16s  0.22% 56.99%      0.35s  0.49%  runtime.pcvalue
     0.12s  0.17% 57.16%      7.73s 10.77%  bufio.(*Reader).Read
     0.09s  0.13% 57.28%      0.25s  0.35%  runtime.(*unwinder).resolveInternal
     0.08s  0.11% 57.40%      7.78s 10.84%  bufio.(*Reader).Peek
     0.08s  0.11% 57.51%         4s  5.57%  runtime.mallocgc
     0.07s 0.097% 57.60%      0.27s  0.38%  bytes.Index
     0.07s 0.097% 57.70%     22.82s 31.78%  syscall.RawSyscall6
     0.06s 0.084% 57.79%     10.79s 15.03%  bytes.(*Buffer).grow
     0.06s 0.084% 57.87%     10.73s 14.94%  bytes.growSlice
     0.06s 0.084% 57.95%     36.34s 50.61%  io.copyBuffer
     0.06s 0.084% 58.04%      2.58s  3.59%  runtime.growslice
     0.05s  0.07% 58.11%      0.70s  0.97%  encoding/json/v2.makeMapArshaler.func2
     0.05s  0.07% 58.18%     22.18s 30.89%  mime/multipart.(*Reader).readForm
     0.05s  0.07% 58.25%      7.74s 10.78%  mime/multipart.(*stickyErrorReader).Read
     0.05s  0.07% 58.31%      4.56s  6.35%  mime/multipart.scanUntilBoundary
     0.05s  0.07% 58.38%      1.33s  1.85%  runtime.(*mheap).allocSpan
     0.05s  0.07% 58.45%     17.10s 23.82%  syscall.Syscall
     0.04s 0.056% 58.51%      7.78s 10.84%  bufio.(*Reader).fill
     0.04s 0.056% 58.57%     24.07s 33.52%  bytes.(*Buffer).ReadFrom
     0.04s 0.056% 58.62%      7.03s  9.79%  net.(*conn).Read
     0.04s 0.056% 58.68%      7.63s 10.63%  net/http.(*body).Read
     0.04s 0.056% 58.73%      7.58s 10.56%  net/http.(*body).readLocked
     0.04s 0.056% 58.79%      7.68s 10.70%  net/http.(*maxBytesReader).Read
     0.04s 0.056% 58.84%      0.80s  1.11%  runtime.(*mcache).refill
     0.04s 0.056% 58.90%      0.27s  0.38%  runtime.(*mheap).allocMSpanLocked
     0.04s 0.056% 58.96%      1.96s  2.73%  runtime.mallocgcLarge
     0.04s 0.056% 59.01%      1.16s  1.62%  runtime.mallocgcSmallNoscan
     0.04s 0.056% 59.07%      0.38s  0.53%  runtime.mallocgcSmallScanNoHeader
     0.03s 0.042% 59.11%     49.20s 68.52%  github.com/FlavioCFOliveira/MuxMaster.(*Mux).dispatch
     0.03s 0.042% 59.15%     49.43s 68.84%  github.com/FlavioCFOliveira/MuxMaster/middleware.RequestID.func1.1
     0.03s 0.042% 59.19%      6.95s  9.68%  internal/poll.(*FD).Read
     0.03s 0.042% 59.23%     11.38s 15.85%  main.asyncProcessUpload
     0.03s 0.042% 59.28%      0.49s  0.68%  mime.ParseMediaType
     0.03s 0.042% 59.32%      7.14s  9.94%  net/http.(*connReader).Read
     0.03s 0.042% 59.36%      0.32s  0.45%  net/textproto.readMIMEHeader
     0.03s 0.042% 59.40%      0.36s   0.5%  runtime.(*mheap).initSpan
     0.03s 0.042% 59.44%      0.31s  0.43%  runtime.newobject
     0.03s 0.042% 59.48%      2.55s  3.55%  runtime.systemstack
     0.03s 0.042% 59.53%      0.56s  0.78%  runtime.tracebackPCs
     0.03s 0.042% 59.57%      6.79s  9.46%  syscall.Read (inline)
     0.02s 0.028% 59.60%      3.12s  4.35%  crypto/internal/fips140/sha256.(*Digest).Write
     0.02s 0.028% 59.62%      0.81s  1.13%  encoding/json/v2.MarshalEncode
     0.02s 0.028% 59.65%      0.31s  0.43%  internal/runtime/maps.(*Map).growToSmall
     0.02s 0.028% 59.68%     13.05s 18.18%  io.(*LimitedReader).Read
     0.02s 0.028% 59.71%     21.42s 29.83%  main.saveFile
     0.02s 0.028% 59.74%      0.35s  0.49%  mime/multipart.(*Part).populateHeaders
     0.02s 0.028% 59.76%      6.99s  9.74%  net.(*netFD).Read
     0.02s 0.028% 59.79%      0.25s  0.35%  net/http.(*response).write
     0.02s 0.028% 59.82%     49.43s 68.84%  net/http.HandlerFunc.ServeHTTP
     0.02s 0.028% 59.85%      0.67s  0.93%  runtime.(*mcentral).cacheSpan
     0.02s 0.028% 59.87%      0.29s   0.4%  runtime.(*unwinder).next
     0.02s 0.028% 59.90%      0.44s  0.61%  runtime.mapassign_faststr
