File: cache
Build ID: 914e44d39a2aa75060787d0bfc91ada9eebed2a7
Type: cpu
Time: 2026-09-25 12:36:36 WEST
Duration: 10s, Total samples = 62.79s (627.88%)
Active filters:
   focus=FlavioCFOliveira/MuxMaster
Showing nodes accounting for 5.58s, 8.89% of 62.79s total
Dropped 190 nodes (cum <= 0.31s)
Showing top 60 nodes out of 159
      flat  flat%   sum%        cum   cum%
     2.89s  4.60%  4.60%      2.89s  4.60%  time.runtimeNow
     0.36s  0.57%  5.18%      0.36s  0.57%  internal/runtime/syscall/linux.Syscall6
     0.10s  0.16%  5.34%      0.34s  0.54%  encoding/json/v2.makeStructArshaler.func2
     0.10s  0.16%  5.49%      0.10s  0.16%  runtime.memclrNoHeapPointers
     0.10s  0.16%  5.65%      0.10s  0.16%  runtime.memmove
     0.09s  0.14%  5.80%      6.73s 10.72%  net/http.HandlerFunc.ServeHTTP
     0.08s  0.13%  5.92%      0.10s  0.16%  internal/runtime/maps.(*Iter).Next
     0.08s  0.13%  6.05%      0.08s  0.13%  runtime.nextFreeFast (inline)
     0.07s  0.11%  6.16%      6.23s  9.92%  github.com/FlavioCFOliveira/MuxMaster/middleware.Logger.func1.1
     0.07s  0.11%  6.27%      0.07s  0.11%  internal/runtime/maps.memHashAES
     0.07s  0.11%  6.39%      0.07s  0.11%  runtime.(*mspan).writeHeapBitsSmall
     0.06s 0.096%  6.48%      0.06s 0.096%  encoding/json/internal/jsonopts.(*Struct).Join
     0.06s 0.096%  6.58%      0.11s  0.18%  encoding/json/jsontext.(*encoderState).WriteToken
     0.06s 0.096%  6.67%      7.19s 11.45%  github.com/FlavioCFOliveira/MuxMaster.(*Mux).dispatch
     0.06s 0.096%  6.77%      0.10s  0.16%  github.com/FlavioCFOliveira/MuxMaster.(*node).getValue
     0.05s  0.08%  6.85%      6.70s 10.67%  github.com/FlavioCFOliveira/MuxMaster/middleware.RequestID.func1.1
     0.05s  0.08%  6.93%      0.05s  0.08%  net/http.(*conn).hijacked
     0.05s  0.08%  7.01%      0.07s  0.11%  net/textproto.CanonicalMIMEHeaderKey
     0.05s  0.08%  7.09%      0.81s  1.29%  runtime.mallocgc
     0.04s 0.064%  7.15%      0.04s 0.064%  encoding/hex.Encode
