File: graceful-shutdown
Build ID: d00e4eb8415b84d68d07dc985455d140af387a99
Type: cpu
Time: 2026-09-25 12:36:51 WEST
Duration: 10s, Total samples = 67.69s (676.88%)
Active filters:
   focus=FlavioCFOliveira/MuxMaster
Showing nodes accounting for 9.56s, 14.12% of 67.69s total
Dropped 228 nodes (cum <= 0.34s)
Showing top 60 nodes out of 110
      flat  flat%   sum%        cum   cum%
     4.92s  7.27%  7.27%      4.92s  7.27%  time.runtimeNow
     1.50s  2.22%  9.48%      1.50s  2.22%  runtime.nanotime (inline)
     0.54s   0.8% 10.28%      0.54s   0.8%  internal/runtime/syscall/linux.Syscall6
     0.14s  0.21% 10.49%      0.14s  0.21%  runtime.nextFreeFast (inline)
     0.13s  0.19% 10.68%      5.96s  8.80%  github.com/FlavioCFOliveira/MuxMaster/middleware.Logger.func1.1
     0.12s  0.18% 10.86%      0.12s  0.18%  runtime.memclrNoHeapPointers
     0.11s  0.16% 11.02%      0.13s  0.19%  internal/runtime/maps.(*Iter).Next
     0.09s  0.13% 11.15%      2.54s  3.75%  context.WithDeadlineCause
     0.09s  0.13% 11.29%     10.82s 15.98%  github.com/FlavioCFOliveira/MuxMaster.(*Mux).dispatch
     0.08s  0.12% 11.40%     11.53s 17.03%  github.com/FlavioCFOliveira/MuxMaster/middleware.RequestID.func1.1
     0.08s  0.12% 11.52%      0.22s  0.33%  sync.(*Pool).Get
     0.07s   0.1% 11.63%      0.35s  0.52%  net/http.(*Request).WithContext
     0.07s   0.1% 11.73%     11.61s 17.15%  net/http.HandlerFunc.ServeHTTP
     0.07s   0.1% 11.83%      0.07s   0.1%  runtime.(*mspan).writeHeapBitsSmall
     0.07s   0.1% 11.94%      0.10s  0.15%  runtime.mallocgcSmallScanNoHeaderSC4
     0.06s 0.089% 12.03%      0.07s   0.1%  github.com/FlavioCFOliveira/MuxMaster.(*Mux).allowed
     0.06s 0.089% 12.11%      0.08s  0.12%  github.com/FlavioCFOliveira/MuxMaster/middleware.formatLogDuration
     0.06s 0.089% 12.20%      0.14s  0.21%  github.com/FlavioCFOliveira/MuxMaster/middleware.nextRandomID
     0.06s 0.089% 12.29%      0.11s  0.16%  runtime.mallocgcSmallScanNoHeaderSC2
