File: rest-api
Build ID: 1b584dc5870f6aeeead88a7efb8f16a72979bb3e
Type: cpu
Time: 2026-09-25 12:37:51 WEST
Duration: 10s, Total samples = 67.88s (678.72%)
Active filters:
   focus=FlavioCFOliveira/MuxMaster
Showing nodes accounting for 8.55s, 12.60% of 67.88s total
Dropped 482 nodes (cum <= 0.34s)
Showing top 60 nodes out of 252
      flat  flat%   sum%        cum   cum%
     3.20s  4.71%  4.71%      3.20s  4.71%  time.runtimeNow
     0.90s  1.33%  6.04%      0.90s  1.33%  runtime.nanotime (inline)
     0.29s  0.43%  6.47%      0.29s  0.43%  internal/runtime/syscall/linux.Syscall6
     0.19s  0.28%  6.75%      0.19s  0.28%  runtime.memclrNoHeapPointers
     0.16s  0.24%  6.98%      1.91s  2.81%  runtime.mallocgc
     0.16s  0.24%  7.22%      0.25s  0.37%  runtime.tryDeferToSpanScan
     0.15s  0.22%  7.44%      0.45s  0.66%  runtime.wbBufFlush1
     0.13s  0.19%  7.63%      0.67s  0.99%  encoding/json/v2.makeStructArshaler.func2
     0.13s  0.19%  7.82%     13.83s 20.37%  net/http.HandlerFunc.ServeHTTP
     0.11s  0.16%  7.98%      0.36s  0.53%  github.com/FlavioCFOliveira/MuxMaster.(*node).getValue
     0.11s  0.16%  8.15%     11.58s 17.06%  github.com/FlavioCFOliveira/MuxMaster/middleware.Logger.func1.1
     0.11s  0.16%  8.31%      0.11s  0.16%  net/netip.parseIPv4Fields
     0.11s  0.16%  8.47%      0.11s  0.16%  runtime.memmove
     0.11s  0.16%  8.63%      0.41s   0.6%  sync.(*Pool).Get
     0.10s  0.15%  8.78%      0.94s  1.38%  encoding/json/v2.makeMapArshaler.func2
     0.10s  0.15%  8.93%      1.21s  1.78%  github.com/FlavioCFOliveira/MuxMaster/middleware.Compress.func3.1.1
     0.10s  0.15%  9.07%      0.12s  0.18%  runtime.typePointers.next
     0.08s  0.12%  9.19%      0.20s  0.29%  regexp.(*Regexp).doOnePass
     0.08s  0.12%  9.31%      0.08s  0.12%  runtime.futex
     0.08s  0.12%  9.43%      0.22s  0.32%  runtime.mallocgcSmallScanNoHeaderSC2
     0.08s  0.12%  9.55%      0.18s  0.27%  runtime.pcvalue
     0.08s  0.12%  9.66%      0.08s  0.12%  runtime.spanClass.sizeclass (inline)
     0.07s   0.1%  9.77%     13.98s 20.60%  github.com/FlavioCFOliveira/MuxMaster.(*Mux).ServeHTTP
     0.07s   0.1%  9.87%      0.17s  0.25%  internal/runtime/maps.(*Iter).Next
     0.07s   0.1%  9.97%      0.07s   0.1%  internal/runtime/maps.memHashAES
     0.07s   0.1% 10.08%      0.08s  0.12%  path.Clean
     0.07s   0.1% 10.18%      0.29s  0.43%  runtime.bulkBarrierPreWrite
     0.07s   0.1% 10.28%      0.10s  0.15%  runtime.step
     0.07s   0.1% 10.39%      0.07s   0.1%  sync.(*poolChain).popTail
     0.06s 0.088% 10.47%      7.58s 11.17%  github.com/FlavioCFOliveira/MuxMaster/middleware.Compress.func3.1
     0.06s 0.088% 10.56%      0.17s  0.25%  github.com/FlavioCFOliveira/MuxMaster/middleware.selectXFFRightmost
     0.06s 0.088% 10.65%      0.60s  0.88%  internal/poll.(*FD).Write
