File: server-sent-events
Build ID: d7643d2c55def99bf8e87728fc6853605b6bca17
Type: cpu
Time: 2026-09-25 12:38:22 WEST
Duration: 10s, Total samples = 94.32s (943.14%)
Showing nodes accounting for 83.47s, 88.50% of 94.32s total
Dropped 594 nodes (cum <= 0.47s)
Showing top 40 nodes out of 74
      flat  flat%   sum%        cum   cum%
    74.26s 78.73% 78.73%     74.26s 78.73%  internal/runtime/syscall/linux.Syscall6
     3.51s  3.72% 82.45%      3.51s  3.72%  time.runtimeNow
     1.02s  1.08% 83.53%      1.02s  1.08%  runtime.nanotime (inline)
     0.47s   0.5% 84.03%      1.19s  1.26%  runtime.selectgo
     0.39s  0.41% 84.45%      0.65s  0.69%  runtime.mallocgcSmallScanNoHeaderSC2
     0.35s  0.37% 84.82%      1.16s  1.23%  fmt.(*pp).doPrintf
     0.30s  0.32% 85.14%     77.39s 82.05%  main.(*hub).stream
     0.25s  0.27% 85.40%      0.70s  0.74%  fmt.(*pp).printArg
     0.25s  0.27% 85.67%     75.43s 79.97%  net/http.checkConnErrorWriter.Write
     0.24s  0.25% 85.92%      0.51s  0.54%  runtime.chansend
     0.21s  0.22% 86.14%     78.26s 82.97%  bufio.(*Writer).Flush
     0.17s  0.18% 86.32%      0.72s  0.76%  net/http.(*response).write
     0.15s  0.16% 86.48%     74.99s 79.51%  internal/poll.(*FD).Write
     0.15s  0.16% 86.64%      2.62s  2.78%  net/http.(*chunkWriter).Write
     0.14s  0.15% 86.79%      1.44s  1.53%  runtime.mallocgc
     0.13s  0.14% 86.93%     74.23s 78.70%  syscall.RawSyscall6
     0.12s  0.13% 87.05%      1.44s  1.53%  runtime.schedule
     0.10s  0.11% 87.16%     75.17s 79.70%  net.(*conn).Write
     0.10s  0.11% 87.27%     73.41s 77.83%  net/http.(*response).FlushError
     0.10s  0.11% 87.37%        75s 79.52%  syscall.Syscall
     0.10s  0.11% 87.48%     74.29s 78.76%  syscall.Write (inline)
     0.08s 0.085% 87.56%     72.23s 76.58%  net/http.(*chunkWriter).flush
     0.08s 0.085% 87.65%     73.49s 77.92%  net/http.(*response).Flush
     0.08s 0.085% 87.73%     74.19s 78.66%  syscall.write
     0.07s 0.074% 87.81%      2.32s  2.46%  fmt.Fprintf
     0.07s 0.074% 87.88%     91.91s 97.44%  net/http.(*conn).serve
     0.06s 0.064% 87.95%      1.56s  1.65%  net/http.(*chunkWriter).writeHeader
     0.05s 0.053% 88.00%     75.07s 79.59%  net.(*netFD).Write
     0.05s 0.053% 88.05%      0.60s  0.64%  net/textproto.readMIMEHeader
     0.05s 0.053% 88.10%      3.56s  3.77%  time.Now
     0.04s 0.042% 88.15%      1.03s  1.09%  internal/poll.(*FD).Read
     0.04s 0.042% 88.19%      0.86s  0.91%  main.(*hub).broadcast
     0.04s 0.042% 88.23%      1.01s  1.07%  net/http.(*connReader).abortPendingRead
     0.04s 0.042% 88.27%     80.77s 85.63%  net/http.HandlerFunc.ServeHTTP
     0.04s 0.042% 88.32%      0.56s  0.59%  runtime.casgstatus
     0.04s 0.042% 88.36%      0.97s  1.03%  runtime.findRunnable
     0.04s 0.042% 88.40%      1.65s  1.75%  runtime.mcall
     0.03s 0.032% 88.43%      1.07s  1.13%  bufio.(*Reader).Peek
     0.03s 0.032% 88.46%      0.69s  0.73%  encoding/json/v2.makeMapArshaler.func2
     0.03s 0.032% 88.50%      0.49s  0.52%  encoding/json/v2.unmarshalDecode
