goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-audit-2026-05-12
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkNotFoundClean-16                        	 5228612	       217.4 ns/op	      99 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 6149914	       212.7 ns/op	      91 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 6109548	       213.6 ns/op	      91 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5688404	       214.0 ns/op	      95 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5738059	       214.0 ns/op	      94 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5731394	       215.1 ns/op	      94 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5715471	       214.7 ns/op	      94 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5729876	       216.6 ns/op	      94 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5762058	       213.7 ns/op	      94 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5788910	       214.1 ns/op	      94 B/op	       3 allocs/op
BenchmarkNotFoundCustomHandler-16                	73631258	        16.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	74498692	        16.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	72815869	        16.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	74808788	        16.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	74568856	        16.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	75129357	        16.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	73756742	        16.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	73946889	        16.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	73223948	        16.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	73070113	        16.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16      	 4800202	       244.4 ns/op	     103 B/op	       3 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16      	 5134498	       242.4 ns/op	     100 B/op	       3 allocs/op
