goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-audit-2026-05-12
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkNotFoundClean-16                        	 5172276	       222.1 ns/op	      99 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 6027662	       215.6 ns/op	      92 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5829880	       221.2 ns/op	      94 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5583000	       218.6 ns/op	      96 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5617020	       219.6 ns/op	      95 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5726149	       220.2 ns/op	      94 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5600443	       219.4 ns/op	      95 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5703094	       219.9 ns/op	      95 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5663361	       219.2 ns/op	      95 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5634961	       219.2 ns/op	      95 B/op	       3 allocs/op
BenchmarkNotFoundCustomHandler-16                	72675544	        16.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	73725855	        16.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	73750224	        16.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	71907246	        16.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	72837910	        16.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	72692762	        16.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	71374347	        16.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	72785766	        16.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	73747054	        16.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	73517018	        16.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16      	 4820206	       240.3 ns/op	     103 B/op	       3 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16      	 5249048	       238.6 ns/op	      99 B/op	       3 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16      	 5235141	       237.7 ns/op	      99 B/op	       3 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16      	 5240800	       239.1 ns/op	      99 B/op	       3 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16      	 5187592	       238.1 ns/op	      99 B/op	       3 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16      	 5236761	       239.6 ns/op	      99 B/op	       3 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16      	 5238440	       237.5 ns/op	      99 B/op	       3 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16      	 5258788	       237.7 ns/op	      99 B/op	       3 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16      	 5238252	       238.0 ns/op	      99 B/op	       3 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16      	 5209694	       239.5 ns/op	      99 B/op	       3 allocs/op
BenchmarkMethodNotAllowed-16                     	11650036	       121.1 ns/op	      94 B/op	       1 allocs/op
BenchmarkMethodNotAllowed-16                     	11690383	       114.4 ns/op	      93 B/op	       1 allocs/op
BenchmarkMethodNotAllowed-16                     	11731940	       115.3 ns/op	      93 B/op	       1 allocs/op
BenchmarkMethodNotAllowed-16                     	11584604	       125.6 ns/op	      94 B/op	       1 allocs/op
BenchmarkMethodNotAllowed-16                     	11194998	       124.8 ns/op	      95 B/op	       1 allocs/op
BenchmarkMethodNotAllowed-16                     	11353664	       119.5 ns/op	      95 B/op	       1 allocs/op
BenchmarkMethodNotAllowed-16                     	11603256	       118.0 ns/op	      94 B/op	       1 allocs/op
BenchmarkMethodNotAllowed-16                     	11703499	       119.2 ns/op	      93 B/op	       1 allocs/op
BenchmarkMethodNotAllowed-16                     	11586620	       117.7 ns/op	      94 B/op	       1 allocs/op
BenchmarkMethodNotAllowed-16                     	11514430	       115.9 ns/op	      94 B/op	       1 allocs/op
BenchmarkOPTIONSAuto-16                          	19184319	        61.54 ns/op	      16 B/op	       1 allocs/op
BenchmarkOPTIONSAuto-16                          	19349838	        61.31 ns/op	      16 B/op	       1 allocs/op
BenchmarkOPTIONSAuto-16                          	19197609	        61.21 ns/op	      16 B/op	       1 allocs/op
BenchmarkOPTIONSAuto-16                          	19311018	        61.26 ns/op	      16 B/op	       1 allocs/op
BenchmarkOPTIONSAuto-16                          	19130342	        61.31 ns/op	      16 B/op	       1 allocs/op
BenchmarkOPTIONSAuto-16                          	19382536	        61.45 ns/op	      16 B/op	       1 allocs/op
BenchmarkOPTIONSAuto-16                          	19298372	        61.36 ns/op	      16 B/op	       1 allocs/op
BenchmarkOPTIONSAuto-16                          	19427882	        61.22 ns/op	      16 B/op	       1 allocs/op
BenchmarkOPTIONSAuto-16                          	19313384	        61.24 ns/op	      16 B/op	       1 allocs/op
BenchmarkOPTIONSAuto-16                          	19178302	        61.50 ns/op	      16 B/op	       1 allocs/op
BenchmarkGroupDispatch-16                        	12470824	        99.71 ns/op	     384 B/op	       1 allocs/op
BenchmarkGroupDispatch-16                        	12277353	        98.84 ns/op	     384 B/op	       1 allocs/op
BenchmarkGroupDispatch-16                        	11978744	        99.44 ns/op	     384 B/op	       1 allocs/op
BenchmarkGroupDispatch-16                        	11762228	        99.48 ns/op	     384 B/op	       1 allocs/op
BenchmarkGroupDispatch-16                        	12341421	       100.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkGroupDispatch-16                        	11857003	       101.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkGroupDispatch-16                        	12044756	        99.35 ns/op	     384 B/op	       1 allocs/op
BenchmarkGroupDispatch-16                        	11881634	       100.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkGroupDispatch-16                        	11840056	        99.93 ns/op	     384 B/op	       1 allocs/op
BenchmarkGroupDispatch-16                        	11851933	       100.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	12002584	       101.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	11727457	        99.41 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	11722352	        99.98 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	12424760	       100.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	12115549	        99.62 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	11325735	       101.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	11959626	       101.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	11804468	       101.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	11742316	       100.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	11804906	       100.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkRedirectTSL-16                          	 1932325	       615.3 ns/op	    1088 B/op	      10 allocs/op
BenchmarkRedirectTSL-16                          	 1949354	       619.6 ns/op	    1088 B/op	      10 allocs/op
