goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-audit-2026-05-12
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkNotFoundClean-16                        	 5059387	       229.4 ns/op	     101 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5912409	       227.3 ns/op	      93 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5416675	       228.9 ns/op	      97 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5591077	       230.7 ns/op	      96 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5284831	       233.6 ns/op	      98 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5788753	       220.0 ns/op	      94 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5770549	       216.1 ns/op	      94 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5553609	       218.4 ns/op	      96 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5698572	       217.9 ns/op	      95 B/op	       3 allocs/op
BenchmarkNotFoundClean-16                        	 5693529	       217.7 ns/op	      95 B/op	       3 allocs/op
BenchmarkNotFoundCustomHandler-16                	73275264	        16.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	72389232	        16.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	73050643	        16.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	73108766	        16.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	71615602	        16.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	71460715	        17.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	71901511	        16.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	73357546	        16.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	71180064	        17.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundCustomHandler-16                	72852715	        16.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16      	 4763290	       240.1 ns/op	     104 B/op	       3 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16      	 5361616	       233.8 ns/op	      98 B/op	       3 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16      	 5329498	       235.2 ns/op	      98 B/op	       3 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16      	 5329358	       232.7 ns/op	      98 B/op	       3 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16      	 5369409	       232.1 ns/op	      97 B/op	       3 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16      	 5288547	       232.3 ns/op	      98 B/op	       3 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16      	 5314338	       234.3 ns/op	      98 B/op	       3 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16      	 5352919	       232.6 ns/op	      98 B/op	       3 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16      	 5388994	       232.9 ns/op	      97 B/op	       3 allocs/op
BenchmarkNotFoundWithMethodAllowedLookup-16      	 5390278	       231.8 ns/op	      97 B/op	       3 allocs/op
BenchmarkMethodNotAllowed-16                     	 9861576	       144.7 ns/op	     102 B/op	       3 allocs/op
BenchmarkMethodNotAllowed-16                     	 9881943	       142.1 ns/op	     102 B/op	       3 allocs/op
BenchmarkMethodNotAllowed-16                     	 9848230	       142.8 ns/op	     102 B/op	       3 allocs/op
BenchmarkMethodNotAllowed-16                     	10108188	       140.3 ns/op	     101 B/op	       3 allocs/op
BenchmarkMethodNotAllowed-16                     	10148770	       140.9 ns/op	     100 B/op	       3 allocs/op
BenchmarkMethodNotAllowed-16                     	 9958527	       141.0 ns/op	     101 B/op	       3 allocs/op
BenchmarkMethodNotAllowed-16                     	 9790686	       142.3 ns/op	     102 B/op	       3 allocs/op
BenchmarkMethodNotAllowed-16                     	 9968128	       140.8 ns/op	     101 B/op	       3 allocs/op
BenchmarkMethodNotAllowed-16                     	 9833187	       141.3 ns/op	     102 B/op	       3 allocs/op
BenchmarkMethodNotAllowed-16                     	10126663	       139.4 ns/op	     101 B/op	       3 allocs/op
BenchmarkOPTIONSAuto-16                          	19611972	        62.27 ns/op	      16 B/op	       1 allocs/op
BenchmarkOPTIONSAuto-16                          	19015596	        61.90 ns/op	      16 B/op	       1 allocs/op
BenchmarkOPTIONSAuto-16                          	19121727	        62.16 ns/op	      16 B/op	       1 allocs/op
BenchmarkOPTIONSAuto-16                          	18816076	        61.76 ns/op	      16 B/op	       1 allocs/op
BenchmarkOPTIONSAuto-16                          	19007623	        61.96 ns/op	      16 B/op	       1 allocs/op
