goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/middleware
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkOAuth2CacheSetAtSaturation-16    	  367215	      3181 ns/op	     288 B/op	       2 allocs/op
BenchmarkOAuth2CacheSetAtSaturation-16    	  367831	      3180 ns/op	     288 B/op	       2 allocs/op
BenchmarkOAuth2CacheSetAtSaturation-16    	  373165	      3183 ns/op	     288 B/op	       2 allocs/op
BenchmarkOAuth2CacheSetAtSaturation-16    	  363158	      3179 ns/op	     288 B/op	       2 allocs/op
BenchmarkOAuth2CacheSetAtSaturation-16    	  371840	      3178 ns/op	     288 B/op	       2 allocs/op
BenchmarkOAuth2CacheSetAtSaturation-16    	  368419	      3185 ns/op	     288 B/op	       2 allocs/op
BenchmarkOAuth2CacheSetAtSaturation-16    	  371962	      3180 ns/op	     288 B/op	       2 allocs/op
BenchmarkOAuth2CacheSetAtSaturation-16    	  372813	      3184 ns/op	     288 B/op	       2 allocs/op
BenchmarkOAuth2CacheSetAtSaturation-16    	  366980	      3175 ns/op	     288 B/op	       2 allocs/op
BenchmarkOAuth2CacheSetAtSaturation-16    	  366273	      3183 ns/op	     288 B/op	       2 allocs/op
BenchmarkThrottlePerIP/sequential-one-client-16         	10487943	       111.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/sequential-one-client-16         	10814874	       110.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/sequential-one-client-16         	10695944	       111.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/sequential-one-client-16         	10828165	       111.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/sequential-one-client-16         	10793983	       111.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/sequential-one-client-16         	10780004	       111.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/sequential-one-client-16         	10786880	       111.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/sequential-one-client-16         	10793515	       111.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/sequential-one-client-16         	10761019	       111.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/sequential-one-client-16         	10712330	       111.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/many-clients-no-overlap-16       	10397364	       112.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/many-clients-no-overlap-16       	10659739	       113.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/many-clients-no-overlap-16       	10583049	       113.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/many-clients-no-overlap-16       	10667874	       113.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/many-clients-no-overlap-16       	10639620	       113.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/many-clients-no-overlap-16       	10600359	       113.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/many-clients-no-overlap-16       	10442401	       113.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/many-clients-no-overlap-16       	10232888	       117.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/many-clients-no-overlap-16       	10479284	       114.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/many-clients-no-overlap-16       	10587609	       113.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogger-16                                      	  211161	      5672 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogger-16                                      	  211765	      5670 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogger-16                                      	  212026	      5671 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogger-16                                      	  211098	      5672 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogger-16                                      	  210730	      5669 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogger-16                                      	  211225	      5663 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogger-16                                      	  211275	      5670 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogger-16                                      	  211442	      5664 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogger-16                                      	  211450	      5669 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogger-16                                      	  211363	      5663 ns/op	       0 B/op	       0 allocs/op
BenchmarkCompress/small-600B-16                         	 3843288	       312.6 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/small-600B-16                         	 3869646	       311.8 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/small-600B-16                         	 3834201	       312.7 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/small-600B-16                         	 3835094	       311.5 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/small-600B-16                         	 3835356	       310.7 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/small-600B-16                         	 3868789	       310.4 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/small-600B-16                         	 3837649	       313.0 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/small-600B-16                         	 3839090	       312.4 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/small-600B-16                         	 3826362	       311.2 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/small-600B-16                         	 3854451	       311.2 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/chunked-12KiB-16                      	  151321	      7778 ns/op	      58 B/op	       3 allocs/op
BenchmarkCompress/chunked-12KiB-16                      	  153169	      7832 ns/op	      58 B/op	       3 allocs/op
BenchmarkCompress/chunked-12KiB-16                      	  153052	      7880 ns/op	      58 B/op	       3 allocs/op
