goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStaticRoute-16                 	48948987	        24.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	48165463	        24.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	48083373	        24.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	49390129	        24.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	49301530	        24.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	49206928	        24.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	48197350	        24.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	49103846	        24.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	49167220	        24.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	49163842	        24.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16                 	 9927860	       118.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10018152	       119.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10202348	       117.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10201221	       117.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	 9760876	       117.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10122234	       118.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	 9859711	       118.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10035735	       119.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	 9702339	       117.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10036521	       116.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9425541	       128.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9134554	       130.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9146030	       130.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9163483	       130.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9006916	       129.9 ns/op	     416 B/op	       1 allocs/op
