goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStaticRoute-16                 	43272873	        27.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	43273639	        27.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	43174575	        27.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	43362210	        27.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	43657270	        27.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	42503314	        27.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	43718702	        27.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	43577215	        27.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	43168392	        27.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	43765808	        27.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16                 	10095465	       114.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10497518	       114.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10506106	       115.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10418883	       115.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10328139	       114.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10365950	       114.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10515037	       113.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10614452	       114.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10501810	       114.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10301962	       114.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8989077	       132.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8989364	       133.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8859252	       131.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8831796	       132.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9145286	       132.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8984217	       133.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9126768	       133.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9183511	       133.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8884258	       133.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9166818	       131.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8245669	       143.3 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8169249	       142.4 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8210611	       143.8 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8205956	       143.3 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8275582	       144.2 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8315932	       143.3 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8235207	       142.8 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8347982	       144.2 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8416848	       143.5 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8161904	       147.1 ns/op	     480 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10663722	       113.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10454709	       113.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10661142	       112.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10412929	       113.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10780106	       114.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10575546	       113.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10689138	       112.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10700721	       112.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10404366	       111.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10285158	       112.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkNotFound-16                    	 5139016	       224.9 ns/op	     100 B/op	       3 allocs/op
BenchmarkNotFound-16                    	 5967009	       215.5 ns/op	      92 B/op	       3 allocs/op
BenchmarkNotFound-16                    	 6039846	       216.6 ns/op	      92 B/op	       3 allocs/op
BenchmarkNotFound-16                    	 5988952	       213.3 ns/op	      92 B/op	       3 allocs/op
BenchmarkNotFound-16                    	 6025519	       212.8 ns/op	      92 B/op	       3 allocs/op
BenchmarkNotFound-16                    	 5987932	       213.7 ns/op	      92 B/op	       3 allocs/op
BenchmarkNotFound-16                    	 6023151	       217.9 ns/op	      92 B/op	       3 allocs/op
BenchmarkNotFound-16                    	 5770105	       218.5 ns/op	      94 B/op	       3 allocs/op
BenchmarkNotFound-16                    	 5723300	       217.2 ns/op	      94 B/op	       3 allocs/op
BenchmarkNotFound-16                    	 5645416	       220.4 ns/op	      95 B/op	       3 allocs/op
BenchmarkParallelStaticRoute-16         	302558504	         4.043 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	294433350	         4.095 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	293479208	         4.119 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	290560726	         4.134 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	289273950	         4.157 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	283648935	         4.180 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	288073072	         4.187 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	287306821	         4.206 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	286567810	         4.234 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	283727395	         4.212 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelParamRoute-16          	11695484	       104.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11356485	       104.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11751768	       104.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11583159	       104.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11485742	       105.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11332434	       104.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11450386	       105.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11703961	       101.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11306766	       101.2 ns/op	     384 B/op	       1 allocs/op
