goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStaticRoute-16                 	37838559	        31.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	38555277	        31.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	38478258	        31.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	38429546	        31.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	37680063	        31.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	38379070	        31.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	37696681	        31.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	38049639	        31.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	37818488	        31.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	37975717	        31.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16                 	10387197	       118.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10046702	       119.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10051556	       119.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10123090	       117.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	 9846244	       119.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	 9902116	       120.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10081642	       120.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	 9976905	       119.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10261873	       118.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	 9925759	       119.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8411534	       138.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8509446	       140.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8377134	       138.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8669480	       140.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8447942	       139.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8751794	       139.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8636726	       139.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8455567	       140.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8507424	       140.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8478607	       139.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 7789012	       153.4 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 7630578	       153.9 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 7845591	       152.0 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 7725790	       153.8 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 7855635	       151.8 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 7709827	       154.0 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 7722600	       153.1 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 7765089	       153.1 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 7692088	       153.6 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 7978951	       153.6 ns/op	     480 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10331906	       119.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	 9813178	       120.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	 9557838	       120.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	 9914642	       119.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	 9917480	       119.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	 9985255	       119.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	 9936643	       119.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	 9827614	       118.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10109920	       122.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	 9943406	       118.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkNotFound-16                    	 5143512	       221.0 ns/op	     100 B/op	       3 allocs/op
BenchmarkNotFound-16                    	 6113552	       214.3 ns/op	      91 B/op	       3 allocs/op
BenchmarkNotFound-16                    	 6145462	       211.4 ns/op	      91 B/op	       3 allocs/op
BenchmarkNotFound-16                    	 6095360	       211.4 ns/op	      92 B/op	       3 allocs/op
BenchmarkNotFound-16                    	 6094935	       211.9 ns/op	      92 B/op	       3 allocs/op
