goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStaticRoute-16                 	43188861	        27.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	42642626	        27.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	43689201	        27.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	43289516	        27.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	43685868	        27.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	43338214	        27.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	43216453	        27.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	43355821	        27.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	43689310	        27.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	42860158	        27.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16                 	10001491	       117.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10070328	       117.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10177732	       116.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10443915	       117.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	 9973803	       116.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10244320	       117.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10137738	       117.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10163980	       118.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10136176	       117.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10192101	       116.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8983626	       130.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9316092	       131.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9199304	       130.0 ns/op	     416 B/op	       1 allocs/op
