goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStaticRoute-16                 	42761328	        26.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	44804962	        26.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	43565736	        26.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	44199162	        26.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	44792228	        26.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	44191657	        27.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	44228400	        26.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	44100009	        26.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	44663566	        26.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	44477306	        26.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16                 	10568796	       114.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10378413	       113.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10280700	       115.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10253440	       114.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10380828	       113.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10639299	       114.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10288863	       113.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10149403	       115.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10212595	       116.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10455685	       115.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9190044	       131.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9098788	       131.6 ns/op	     416 B/op	       1 allocs/op
