goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStaticRoute-16                 	41526195	        28.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	41352590	        28.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	41579757	        28.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	40355580	        28.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	41381473	        28.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	41322853	        28.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	42086457	        28.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	41336074	        28.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	41344528	        28.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	40633302	        28.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16                 	11033404	       112.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10733109	       112.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10748432	       110.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10956384	       111.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10586071	       111.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10770855	       111.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10604272	       110.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10513533	       112.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	11010312	       112.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10852316	       111.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9259120	       129.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9240482	       128.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9626290	       129.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9212241	       129.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9604750	       130.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8311107	       131.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9286981	       128.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9063471	       129.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9155709	       128.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9148099	       129.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8700349	       142.9 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8283243	       146.5 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8303030	       142.7 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8347423	       140.8 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8290918	       142.3 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8397567	       143.5 ns/op	     480 B/op	       1 allocs/op
