goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-audit-2026-05-12
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkMethodNotAllowed-16                 	10478792	        98.33 ns/op	      51 B/op	       0 allocs/op
BenchmarkMethodNotAllowed-16                 	14960544	       101.6 ns/op	      71 B/op	       0 allocs/op
BenchmarkMethodNotAllowed-16                 	15114775	        94.86 ns/op	      71 B/op	       0 allocs/op
BenchmarkMethodNotAllowed-16                 	13187961	        86.35 ns/op	      40 B/op	       0 allocs/op
BenchmarkMethodNotAllowed-16                 	15098996	       104.4 ns/op	      71 B/op	       0 allocs/op
BenchmarkMethodNotAllowed-16                 	14509527	        99.85 ns/op	      74 B/op	       0 allocs/op
BenchmarkOPTIONSAuto-16                      	26092256	        46.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkOPTIONSAuto-16                      	26220712	        46.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkOPTIONSAuto-16                      	26246467	        46.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkOPTIONSAuto-16                      	25991407	        46.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkOPTIONSAuto-16                      	26385117	        46.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkOPTIONSAuto-16                      	25917502	        45.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkRedirectTSL-16                      	 1753729	       686.3 ns/op	    1136 B/op	      12 allocs/op
BenchmarkRedirectTSL-16                      	 1741887	       684.0 ns/op	    1136 B/op	      12 allocs/op
BenchmarkRedirectTSL-16                      	 1744299	       686.5 ns/op	    1136 B/op	      12 allocs/op
BenchmarkRedirectTSL-16                      	 1757268	       685.1 ns/op	    1136 B/op	      12 allocs/op
BenchmarkRedirectTSL-16                      	 1748857	       688.7 ns/op	    1136 B/op	      12 allocs/op
BenchmarkRedirectTSL-16                      	 1753254	       687.1 ns/op	    1136 B/op	      12 allocs/op
BenchmarkRedirectTSLWithMiddleware-16        	 1365716	       880.1 ns/op	    1528 B/op	      15 allocs/op
