goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStaticRoute-16                 	41621236	        28.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	42391412	        28.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	42014194	        28.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	42349826	        28.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	42334591	        28.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	41956639	        28.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	42305718	        28.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	40946058	        28.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	41852902	        28.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	42547933	        28.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16                 	10412680	       113.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10490554	       113.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10516354	       114.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10859288	       113.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10457774	       113.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10433781	       113.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10578343	       112.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10520888	       114.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10352581	       113.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10656471	       113.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9020677	       131.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8974351	       132.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8994548	       132.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9026956	       132.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8881928	       132.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8883646	       132.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9005348	       132.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8951973	       133.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8790976	       131.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9161078	       133.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8338624	       146.2 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8466166	       143.4 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8228694	       145.4 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8281476	       144.0 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8355332	       141.8 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8470783	       144.5 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8404429	       144.5 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8288895	       145.0 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8290455	       142.8 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8274150	       145.1 ns/op	     480 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10559931	       113.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10345144	       112.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10675375	       113.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10541925	       112.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10557225	       113.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10342524	       113.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10205996	       114.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10573064	       113.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10260379	       112.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10704739	       113.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelStaticRoute-16         	282790137	         4.671 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	278821540	         4.333 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	276382894	         4.349 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	274835635	         4.374 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	274346326	         4.382 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	272996068	         4.398 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	271608621	         4.420 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	271277473	         4.439 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	270089583	         4.445 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	269332533	         4.459 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelParamRoute-16          	11497760	       105.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11566150	       105.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11170766	       105.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11193865	       106.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11419629	       106.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11350646	       104.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11285226	       105.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11601169	       101.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11901332	       103.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11856826	       102.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkFastStaticRoute-16             	39992509	        30.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	40800115	        30.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	40748539	        29.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	39999957	        30.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	41543547	        29.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	41011054	        29.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	41471751	        29.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	40885941	        29.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	40468386	        29.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	41315979	        29.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastParamRoute1-16             	24076136	        46.88 ns/op	      32 B/op	       1 allocs/op
