goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStaticRoute-16                 	40675566	        29.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	40200666	        29.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	40347650	        29.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	40781670	        29.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	40628244	        29.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	40227679	        29.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16                 	10494747	       115.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10226438	       114.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10368244	       115.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10339574	       115.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10505977	       114.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10232625	       115.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9278658	       129.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8990366	       129.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9296434	       129.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9115447	       128.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9018421	       130.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9288464	       131.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8125617	       145.5 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8301208	       145.8 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 7462304	       148.4 ns/op	     480 B/op	       1 allocs/op
