goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStaticRoute-16                 	40553590	        29.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	40591816	        29.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	40818729	        29.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	41042013	        29.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	40174486	        29.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	41497898	        29.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	40978682	        29.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	41125910	        29.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	40996674	        29.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	40481737	        29.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16                 	10245170	       116.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10120070	       115.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10334214	       117.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10136196	       116.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10194896	       117.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10071781	       117.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10023412	       118.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10146396	       116.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10077298	       117.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10013616	       118.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8979254	       131.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9138874	       130.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8907246	       132.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9016177	       131.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9097496	       129.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9166024	       132.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9389752	       131.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 8985062	       132.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9170766	       132.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9042198	       131.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 7946406	       150.1 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8097843	       149.5 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 7942864	       146.9 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8145898	       148.5 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8046441	       149.6 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8016295	       149.8 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 7955162	       149.1 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 7974883	       150.3 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8159655	       149.7 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 7978089	       149.8 ns/op	     480 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10082254	       118.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10107478	       120.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	 9876636	       120.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	 9926880	       118.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	 9920238	       119.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10092529	       118.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10065338	       118.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	 9962076	       120.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	 9930087	       119.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	 9962007	       119.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelStaticRoute-16         	273693067	         4.469 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	263607193	         4.504 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	265931048	         4.525 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	263447698	         4.543 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	263012520	         4.571 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	262864924	         4.576 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	261739167	         4.598 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	261301701	         4.611 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	260376638	         4.610 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	258494328	         4.634 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelParamRoute-16          	11233005	       106.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11256009	       106.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11302369	       105.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11252257	       106.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11231221	       106.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11325291	       106.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11447280	       105.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11180217	       103.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11570288	       103.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11548560	       103.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkFastStaticRoute-16             	38963514	        31.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	39742011	        31.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	39524246	        30.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	39618572	        30.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	39927831	        30.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	40422500	        30.04 ns/op	       0 B/op	       0 allocs/op
