goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStaticRoute-16                 	48127038	        24.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	47024552	        24.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	47844932	        24.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	48216580	        24.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	48252194	        24.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	48113560	        24.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16                 	 9999830	       117.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10087383	       118.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10279190	       118.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10291369	       116.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	 9954333	       116.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10170602	       117.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9148670	       130.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9067150	       131.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9367999	       131.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9323083	       131.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9325840	       131.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9156850	       131.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8148165	       145.4 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8139068	       143.0 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8110012	       147.4 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8217898	       143.4 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8379696	       146.4 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8265342	       145.5 ns/op	     480 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10408330	       113.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10511750	       116.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10528954	       115.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10503139	       115.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10310538	       115.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	10268733	       113.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelStaticRoute-16         	331299265	         3.693 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	322022301	         3.754 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	321674012	         3.724 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	323989410	         3.743 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	322287891	         3.733 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	320665842	         3.761 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelParamRoute-16          	10942828	       104.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11524248	       104.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11322578	       104.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11425869	       104.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11212886	       104.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11486719	       105.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkFastStaticRoute-16             	45484518	        25.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	48400340	        25.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	47478302	        25.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	47442249	        25.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	47195948	        25.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	46319684	        25.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastParamRoute1-16             	25290726	        42.38 ns/op	      32 B/op	       1 allocs/op
