goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-lab-2026-09-24/waste-hunt/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkMount/current-16       	 5035951	       236.5 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/current-16       	 4959399	       238.4 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/current-16       	 5088190	       237.1 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/current-16       	 5072804	       236.6 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/current-16       	 5110207	       237.2 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/current-16       	 5060710	       238.8 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/no-redundant-url-16         	 1257441	       965.9 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/no-redundant-url-16         	 1258779	       962.2 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/no-redundant-url-16         	 1261992	       950.4 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/no-redundant-url-16         	 1253684	       948.0 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/no-redundant-url-16         	 1252311	       959.5 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/no-redundant-url-16         	 1208269	       961.0 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/shallow-copy-16             	 4990370	       237.4 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/shallow-copy-16             	 5041186	       238.5 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/shallow-copy-16             	 5011989	       238.9 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/shallow-copy-16             	 4964119	       240.2 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/shallow-copy-16             	 5099074	       239.0 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/shallow-copy-16             	 5039488	       238.4 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/dispatch-only-16            	11537304	       105.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkMount/dispatch-only-16            	11286706	       104.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkMount/dispatch-only-16            	11487610	       104.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkMount/dispatch-only-16            	11357614	       104.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkMount/dispatch-only-16            	11342416	       104.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkMount/dispatch-only-16            	11338419	       105.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkServeFilesCopy/current-replica-16 	 1200787	       997.4 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/current-replica-16 	 1000000	      1021 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/current-replica-16 	 1000000	      1006 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/current-replica-16 	 1000000	      1017 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/current-replica-16 	 1000000	      1003 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/current-replica-16 	 1202820	       973.9 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16    	 4953421	       246.7 ns/op	     848 B/op	       3 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16    	 4938776	       241.3 ns/op	     848 B/op	       3 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16    	 4905069	       241.8 ns/op	     848 B/op	       3 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16    	 4940845	       244.0 ns/op	     848 B/op	       3 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16    	 4975554	       242.5 ns/op	     848 B/op	       3 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16    	 5003034	       244.8 ns/op	     848 B/op	       3 allocs/op
BenchmarkCleanPathChanged/current-16       	 8985273	       131.2 ns/op	     464 B/op	       2 allocs/op
BenchmarkCleanPathChanged/current-16       	 8798797	       133.7 ns/op	     464 B/op	       2 allocs/op
BenchmarkCleanPathChanged/current-16       	 9032918	       131.7 ns/op	     464 B/op	       2 allocs/op
BenchmarkCleanPathChanged/current-16       	 9058969	       131.9 ns/op	     464 B/op	       2 allocs/op
