goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-lab-2026-09-24/waste-hunt/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkMount/current-16       	 1000000	      1002 ns/op	    1928 B/op	       9 allocs/op
BenchmarkMount/current-16       	 1200697	      1008 ns/op	    1928 B/op	       9 allocs/op
BenchmarkMount/current-16       	 1000000	      1008 ns/op	    1928 B/op	       9 allocs/op
BenchmarkMount/current-16       	 1230766	      1003 ns/op	    1928 B/op	       9 allocs/op
BenchmarkMount/current-16       	 1204902	      1018 ns/op	    1928 B/op	       9 allocs/op
BenchmarkMount/current-16       	 1000000	      1004 ns/op	    1928 B/op	       9 allocs/op
BenchmarkMount/no-redundant-url-16         	 1261186	       954.6 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/no-redundant-url-16         	 1296036	       946.6 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/no-redundant-url-16         	 1258035	       951.0 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/no-redundant-url-16         	 1266927	       953.5 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/no-redundant-url-16         	 1255910	       949.7 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/no-redundant-url-16         	 1268390	       951.5 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/shallow-copy-16             	 5036137	       236.7 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/shallow-copy-16             	 5032288	       237.2 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/shallow-copy-16             	 5097874	       234.3 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/shallow-copy-16             	 5047648	       239.4 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/shallow-copy-16             	 5045385	       236.0 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/shallow-copy-16             	 5096894	       237.9 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/dispatch-only-16            	11044117	       107.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkMount/dispatch-only-16            	11014282	       107.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkMount/dispatch-only-16            	10906791	       107.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkMount/dispatch-only-16            	10982089	       108.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkMount/dispatch-only-16            	11234582	       107.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkMount/dispatch-only-16            	11021913	       108.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkServeFilesCopy/current-replica-16 	 1000000	      1005 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/current-replica-16 	 1202414	       998.8 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/current-replica-16 	 1206358	       986.9 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/current-replica-16 	 1211188	       992.9 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/current-replica-16 	 1216210	       989.6 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/current-replica-16 	 1218730	       999.2 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16    	 5082049	       233.8 ns/op	     848 B/op	       3 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16    	 5206534	       234.4 ns/op	     848 B/op	       3 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16    	 5152357	       233.0 ns/op	     848 B/op	       3 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16    	 5167940	       234.7 ns/op	     848 B/op	       3 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16    	 5213404	       235.0 ns/op	     848 B/op	       3 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16    	 4948659	       234.7 ns/op	     848 B/op	       3 allocs/op
BenchmarkCleanPathChanged/current-16       	 1468489	       814.0 ns/op	    1400 B/op	       7 allocs/op
BenchmarkCleanPathChanged/current-16       	 1481036	       810.2 ns/op	    1400 B/op	       7 allocs/op
BenchmarkCleanPathChanged/current-16       	 1499523	       807.8 ns/op	    1400 B/op	       7 allocs/op
BenchmarkCleanPathChanged/current-16       	 1479052	       801.2 ns/op	    1400 B/op	       7 allocs/op
BenchmarkCleanPathChanged/current-16       	 1470350	       817.8 ns/op	    1400 B/op	       7 allocs/op
BenchmarkCleanPathChanged/current-16       	 1474605	       810.5 ns/op	    1400 B/op	       7 allocs/op
BenchmarkCleanPathChanged/shallow-copy-16  	 8700486	       130.9 ns/op	     464 B/op	       2 allocs/op
BenchmarkCleanPathChanged/shallow-copy-16  	 9135920	       132.7 ns/op	     464 B/op	       2 allocs/op
BenchmarkCleanPathChanged/shallow-copy-16  	 9043202	       132.6 ns/op	     464 B/op	       2 allocs/op
BenchmarkCleanPathChanged/shallow-copy-16  	 8954162	       130.9 ns/op	     464 B/op	       2 allocs/op
BenchmarkCleanPathChanged/shallow-copy-16  	 8751970	       131.6 ns/op	     464 B/op	       2 allocs/op
BenchmarkCleanPathChanged/shallow-copy-16  	 9090998	       135.3 ns/op	     464 B/op	       2 allocs/op
BenchmarkSetHeaderX4/current-16            	 4789356	       250.7 ns/op	      64 B/op	       4 allocs/op
BenchmarkSetHeaderX4/current-16            	 4814916	       249.4 ns/op	      64 B/op	       4 allocs/op
BenchmarkSetHeaderX4/current-16            	 4789834	       259.4 ns/op	      64 B/op	       4 allocs/op
BenchmarkSetHeaderX4/current-16            	 4394007	       257.7 ns/op	      64 B/op	       4 allocs/op
BenchmarkSetHeaderX4/current-16            	 4305974	       248.9 ns/op	      64 B/op	       4 allocs/op
BenchmarkSetHeaderX4/current-16            	 4795359	       249.0 ns/op	      64 B/op	       4 allocs/op
BenchmarkSetHeaderX4/alternative-16        	10432476	       115.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetHeaderX4/alternative-16        	10289085	       114.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetHeaderX4/alternative-16        	10331031	       114.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetHeaderX4/alternative-16        	10156135	       116.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetHeaderX4/alternative-16        	10437844	       114.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetHeaderX4/alternative-16        	10316206	       115.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkText/current-16                   	11997213	        99.15 ns/op	      96 B/op	       2 allocs/op
BenchmarkText/current-16                   	12112533	        98.70 ns/op	      96 B/op	       2 allocs/op
BenchmarkText/current-16                   	11953627	        98.86 ns/op	      96 B/op	       2 allocs/op
BenchmarkText/current-16                   	12074239	       101.6 ns/op	      96 B/op	       2 allocs/op
BenchmarkText/current-16                   	11973795	        98.80 ns/op	      96 B/op	       2 allocs/op
BenchmarkText/current-16                   	12060830	        99.05 ns/op	      96 B/op	       2 allocs/op
BenchmarkText/alternative-16               	26203790	        44.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkText/alternative-16               	27145639	        44.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkText/alternative-16               	26970295	        44.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkText/alternative-16               	26903823	        44.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkText/alternative-16               	26908963	        45.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkText/alternative-16               	27117747	        45.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONHelper-16                     	 2399269	       502.3 ns/op	     176 B/op	       3 allocs/op
BenchmarkJSONHelper-16                     	 2397672	       499.8 ns/op	     176 B/op	       3 allocs/op
BenchmarkJSONHelper-16                     	 2394890	       499.2 ns/op	     176 B/op	       3 allocs/op
BenchmarkJSONHelper-16                     	 2387080	       501.5 ns/op	     176 B/op	       3 allocs/op
BenchmarkJSONHelper-16                     	 2397658	       500.8 ns/op	     176 B/op	       3 allocs/op
