% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 52.26    0.013516         275        49         4 futex
 11.29    0.002919          71        41           nanosleep
  9.61    0.002485          15       156           clock_gettime
  7.60    0.001965         280         7           epoll_pwait
  2.11    0.000547          11        48           rt_sigprocmask
  2.06    0.000533          11        48           mmap
  1.46    0.000377          29        13           sched_yield
  1.26    0.000327           2       114           rt_sigaction
  1.24    0.000322          46         7           clone3
  0.94    0.000243          15        16           mprotect
  0.92    0.000238          17        14           read
  0.84    0.000217           8        26           prctl
  0.82    0.000213          13        16           sigaltstack
  0.80    0.000206          14        14           close
  0.69    0.000178         178         1           execve
  0.67    0.000172          34         5           munmap
  0.56    0.000145          16         9           setsockopt
  0.54    0.000139          17         8           gettid
  0.50    0.000129          16         8           rseq
  0.43    0.000112          22         5           pread64
  0.42    0.000109          12         9           openat
  0.38    0.000098          19         5           socket
  0.38    0.000098          32         3         2 accept4
  0.35    0.000091          22         4           sched_getaffinity
  0.34    0.000089          11         8           set_robust_list
  0.33    0.000086          17         5           write
  0.25    0.000065           9         7           epoll_ctl
  0.20    0.000052          17         3           bind
  0.18    0.000046           5         8           fcntl
  0.10    0.000026          13         2           getsockname
  0.09    0.000024          24         1           rt_sigreturn
  0.07    0.000019           6         3           prlimit64
  0.05    0.000014          14         1           uname
  0.04    0.000010          10         1           epoll_create1
  0.03    0.000009           3         3           fstat
  0.03    0.000009           3         3           brk
  0.03    0.000009           9         1           listen
  0.03    0.000007           3         2           madvise
  0.02    0.000005           5         1         1 access
  0.02    0.000005           5         1           eventfd2
  0.02    0.000004           4         1           getrandom
  0.01    0.000003           3         1           arch_prctl
  0.01    0.000003           3         1           set_tid_address
------ ----------- ----------- --------- --------- ------------------
100.00    0.025864          38       679         7 total
