% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 46.01   23.074917          52    440453           clock_gettime
 44.04   22.086048         877     25167      4844 futex
  2.67    1.337948          59     22436           write
  2.16    1.081648          53     20192      5447 read
  1.99    0.995801         114      8689        18 nanosleep
  0.67    0.334055          34      9822           sched_yield
  0.63    0.315736          34      9217           tgkill
  0.61    0.307979          33      9217           getpid
  0.59    0.296846          32      9218       171 rt_sigreturn
  0.49    0.246609          60      4091         1 epoll_pwait
  0.07    0.034887          53       652           madvise
  0.01    0.006026          35       169           setsockopt
  0.01    0.004928          62        79           getrandom
  0.01    0.004149          31       132           rt_sigprocmask
  0.01    0.003517          32       109           mmap
  0.00    0.002434          34        71           epoll_ctl
  0.00    0.002424          51        47           close
  0.00    0.002203         104        21           clone3
  0.00    0.001731          29        59           prctl
  0.00    0.001621          36        44           mprotect
  0.00    0.001399          31        44           sigaltstack
  0.00    0.001255          34        36         3 accept4
  0.00    0.001184          34        34           getsockname
  0.00    0.000751          34        22           gettid
  0.00    0.000716          32        22           rseq
  0.00    0.000670          30        22           set_robust_list
  0.00    0.000600          37        16           munmap
  0.00    0.000454           3       114           rt_sigaction
  0.00    0.000397          49         8           sched_getaffinity
  0.00    0.000375          41         9           pread64
  0.00    0.000136          13        10           openat
  0.00    0.000076          25         3           prlimit64
  0.00    0.000068          13         5           socket
  0.00    0.000058           7         8           fcntl
  0.00    0.000036          12         3           bind
  0.00    0.000015          15         1           uname
  0.00    0.000008           8         1           listen
  0.00    0.000007           7         1           epoll_create1
  0.00    0.000005           1         3           fstat
  0.00    0.000005           5         1           eventfd2
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
------ ----------- ----------- --------- --------- ------------------
100.00   50.149722          89    560255     10485 total
