% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 24.48    0.002694         117        23         1 futex
 21.96    0.002417          75        32           nanosleep
 15.87    0.001747          15       113           clock_gettime
  7.37    0.000811         115         7         1 epoll_pwait
  5.50    0.000605          14        41           rt_sigprocmask
  3.16    0.000348           3       115           rt_sigaction
  2.84    0.000313          52         6           clone3
  2.32    0.000255          18        14           mprotect
  2.18    0.000240           5        43           mmap
  1.61    0.000177          29         6           sched_yield
  1.27    0.000140          46         3         2 accept4
  1.17    0.000129           9        14           sigaltstack
  1.13    0.000124           9        13           close
  0.98    0.000108          15         7           rseq
  0.97    0.000107          11         9           gettid
  0.87    0.000096          10         9           setsockopt
  0.79    0.000087          12         7           set_robust_list
  0.78    0.000086           6        13           read
  0.74    0.000081          13         6           munmap
  0.66    0.000073          12         6           epoll_ctl
  0.64    0.000070          14         5           socket
  0.34    0.000037           4         8           fcntl
  0.33    0.000036           1        23           prctl
  0.28    0.000031          15         2           write
  0.28    0.000031           3         9           openat
  0.21    0.000023          11         2           getsockname
  0.20    0.000022           7         3           sched_getaffinity
  0.18    0.000020           6         3           bind
  0.16    0.000018           6         3           prlimit64
  0.14    0.000015           7         2           tgkill
  0.13    0.000014           7         2           getpid
  0.13    0.000014          14         1           epoll_create1
  0.12    0.000013           3         4           pread64
  0.11    0.000012          12         1           eventfd2
  0.05    0.000006           6         1           uname
  0.05    0.000005           5         1           listen
  0.00    0.000000           0         3           fstat
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         2           madvise
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00    0.011005          19       570         5 total
