% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 57.79   24.562185          53    455923           clock_gettime
 30.67   13.034360         638     20410      3855 futex
  3.38    1.435775          60     23601           write
  2.61    1.110394          54     20358      5305 read
  2.24    0.950034         115      8245        13 nanosleep
  0.71    0.302756          36      8260           tgkill
  0.70    0.296755          35      8260           getpid
  0.68    0.289170          35      8258       131 rt_sigreturn
  0.63    0.269248          34      7898           sched_yield
  0.45    0.192280          59      3252           epoll_pwait
  0.06    0.023443          53       441           madvise
  0.02    0.006600          39       169           setsockopt
  0.01    0.004435          37       119           rt_sigprocmask
  0.01    0.004098          63        65           getrandom
  0.01    0.003965          37       106           mmap
  0.01    0.002294         120        19           clone3
  0.00    0.001739          43        40           mprotect
  0.00    0.001723          28        60           prctl
  0.00    0.001573          39        40           sigaltstack
  0.00    0.001490          36        41           epoll_ctl
  0.00    0.001424          39        36         3 accept4
  0.00    0.001344          39        34           getsockname
  0.00    0.000800          40        20           set_robust_list
  0.00    0.000798          39        20           rseq
  0.00    0.000786          35        22           gettid
  0.00    0.000750          44        17           munmap
  0.00    0.000449           3       115           rt_sigaction
  0.00    0.000369          41         9           pread64
  0.00    0.000342          42         8           sched_getaffinity
  0.00    0.000249          16        15           close
  0.00    0.000152          15        10           openat
  0.00    0.000054          10         5           socket
  0.00    0.000046           5         8           fcntl
  0.00    0.000029           9         3           bind
  0.00    0.000029           9         3           prlimit64
  0.00    0.000025          25         1           epoll_create1
  0.00    0.000016           5         3           fstat
  0.00    0.000011           3         3           brk
  0.00    0.000009           9         1           uname
  0.00    0.000008           8         1         1 access
  0.00    0.000008           8         1           eventfd2
  0.00    0.000005           5         1           listen
  0.00    0.000005           5         1           arch_prctl
  0.00    0.000004           4         1           set_tid_address
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ------------------
100.00   42.502029          75    565904      9308 total
