% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 54.01    0.012061         256        47         4 futex
 11.71    0.002614          62        42           nanosleep
 10.37    0.002315          15       153           clock_gettime
  3.21    0.000717          13        54           rt_sigprocmask
  3.18    0.000709          13        51           mmap
  2.34    0.000523          65         8           clone3
  1.91    0.000426          23        18           mprotect
  1.64    0.000367          24        15           sched_yield
  1.50    0.000334           2       114           rt_sigaction
  1.18    0.000263          14        18           sigaltstack
  1.17    0.000262          18        14           close
  1.03    0.000229          17        13           read
  0.87    0.000194           7        27           prctl
  0.84    0.000187          23         8           munmap
  0.62    0.000138          27         5           socket
  0.60    0.000134          14         9           rseq
  0.60    0.000133          14         9           openat
  0.52    0.000116          12         9           set_robust_list
  0.50    0.000112          12         9           gettid
  0.42    0.000093          10         9           setsockopt
  0.28    0.000062          12         5           pread64
  0.23    0.000051          17         3           bind
  0.22    0.000050           7         7           epoll_ctl
  0.22    0.000049          12         4           sched_getaffinity
  0.21    0.000048          12         4           write
  0.15    0.000033           4         8           fcntl
  0.08    0.000018          18         1           rt_sigreturn
  0.07    0.000015           5         3           prlimit64
  0.05    0.000012          12         1           epoll_create1
  0.04    0.000010           3         3           fstat
  0.04    0.000009           3         3           brk
  0.04    0.000008           4         2           madvise
  0.04    0.000008           8         1           listen
  0.03    0.000007           3         2           getsockname
  0.03    0.000007           7         1           eventfd2
  0.02    0.000005           5         1           getrandom
  0.02    0.000004           4         1           arch_prctl
  0.02    0.000004           4         1           set_tid_address
  0.01    0.000003           3         1           uname
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         5           epoll_pwait
  0.00    0.000000           0         3         2 accept4
------ ----------- ----------- --------- --------- ------------------
100.00    0.022330          32       694         7 total
