% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 55.22   26.955900          55    482534           clock_gettime
 35.32   17.242529        1838      9379      1462 futex
  3.06    1.494531          61     24428           write
  2.41    1.175722          56     20713      6498 read
  1.85    0.901653         114      7866        10 nanosleep
  0.50    0.244384          45      5399           tgkill
  0.49    0.238946          44      5399           getpid
  0.49    0.238768          44      5400       379 rt_sigreturn
  0.35    0.170456          57      2951           epoll_pwait
  0.22    0.107527          34      3128           sched_yield
  0.03    0.013554          59       227           madvise
  0.01    0.006178          36       169           setsockopt
  0.01    0.004183          31       132           rt_sigprocmask
  0.01    0.004063          66        61           getrandom
  0.01    0.003368          31       107           mmap
  0.00    0.002318         110        21           clone3
  0.00    0.002144          37        57           prctl
  0.00    0.001744          24        71           epoll_ctl
  0.00    0.001619          36        44           mprotect
  0.00    0.001528          42        36         3 accept4
  0.00    0.001345          39        34           getsockname
  0.00    0.001284          29        44           sigaltstack
  0.00    0.000990          21        47           close
  0.00    0.000794          36        22           rseq
  0.00    0.000791          35        22           set_robust_list
  0.00    0.000733          45        16           munmap
  0.00    0.000700          31        22           gettid
  0.00    0.000438           3       114           rt_sigaction
  0.00    0.000374          41         9           pread64
  0.00    0.000338          42         8           sched_getaffinity
  0.00    0.000157          31         5           socket
  0.00    0.000124          12        10           openat
  0.00    0.000068           8         8           fcntl
  0.00    0.000055          18         3           bind
  0.00    0.000017          17         1           listen
  0.00    0.000017          17         1           uname
  0.00    0.000013           4         3           prlimit64
  0.00    0.000011          11         1           eventfd2
  0.00    0.000009           9         1           epoll_create1
  0.00    0.000000           0         3           fstat
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
------ ----------- ----------- --------- --------- ------------------
100.00   48.819373          85    568503      8353 total
