% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 54.82    0.013234         294        45         4 futex
 10.81    0.002609          17       152           clock_gettime
 10.71    0.002586          66        39           nanosleep
  6.59    0.001591         265         6           epoll_pwait
  2.46    0.000594          12        48           rt_sigprocmask
  1.59    0.000385          55         7           clone3
  1.51    0.000365           7        48           mmap
  1.43    0.000346           3       114           rt_sigaction
  1.08    0.000261          16        16           mprotect
  0.93    0.000225          16        14           close
  0.87    0.000211          13        16           sigaltstack
  0.86    0.000208          14        14           read
  0.86    0.000207          15        13           sched_yield
  0.61    0.000147          16         9           munmap
  0.53    0.000128           4        26           prctl
  0.51    0.000122          15         8           rseq
  0.42    0.000102          11         9           setsockopt
  0.41    0.000099          19         5           socket
  0.39    0.000095          31         3         2 accept4
  0.34    0.000083          10         8           gettid
  0.32    0.000078           9         8           set_robust_list
  0.30    0.000072          10         7           epoll_ctl
  0.29    0.000071          14         5           pread64
  0.24    0.000057          19         3           bind
  0.19    0.000047          11         4           write
  0.19    0.000045           5         9           openat
  0.18    0.000044          11         4           sched_getaffinity
  0.15    0.000036           4         8           fcntl
  0.12    0.000030          30         1           rt_sigreturn
  0.09    0.000021          10         2           getsockname
  0.06    0.000015           5         3           prlimit64
  0.05    0.000012          12         1           eventfd2
  0.02    0.000005           5         1           listen
  0.02    0.000005           5         1           epoll_create1
  0.01    0.000003           3         1           uname
  0.00    0.000000           0         3           fstat
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         2           madvise
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00    0.024139          35       671         7 total
