% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 59.52   29.301276         481     60898     12545 futex
 28.86   14.207074          43    323678           clock_gettime
  2.67    1.316293         108     12102        64 nanosleep
  1.71    0.841465          33     24775           sched_yield
  1.51    0.743357          45     16431      5315 read
  1.48    0.726602          54     13404           write
  1.09    0.536718          28     18800           tgkill
  1.07    0.528839          28     18800           getpid
  1.00    0.492535          26     18801       249 rt_sigreturn
  0.79    0.388483          59      6492         1 epoll_pwait
  0.19    0.092934          48      1923           getrandom
  0.04    0.018849          47       398           madvise
  0.01    0.006359          37       169           setsockopt
  0.01    0.003708          28       132           rt_sigprocmask
  0.01    0.003211          68        47           close
  0.01    0.003200          45        71           epoll_ctl
  0.01    0.002873          26       110           mmap
  0.00    0.001946          92        21           clone3
  0.00    0.001680          38        44           mprotect
  0.00    0.001638          27        60           prctl
  0.00    0.001444          39        37         4 accept4
  0.00    0.001374          31        44           sigaltstack
  0.00    0.001252          36        34           getsockname
  0.00    0.000776          35        22           gettid
  0.00    0.000691          31        22           set_robust_list
  0.00    0.000653          29        22           rseq
  0.00    0.000497           4       114           rt_sigaction
  0.00    0.000391          27        14           munmap
  0.00    0.000301          33         9           pread64
  0.00    0.000290          36         8           sched_getaffinity
  0.00    0.000182          18        10           openat
  0.00    0.000081          16         5           socket
  0.00    0.000075           9         8           fcntl
  0.00    0.000021           7         3           bind
  0.00    0.000011           3         3           prlimit64
  0.00    0.000009           9         1           epoll_create1
  0.00    0.000008           8         1           eventfd2
  0.00    0.000005           5         1           listen
  0.00    0.000004           4         1           uname
  0.00    0.000000           0         3           fstat
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
------ ----------- ----------- --------- --------- ------------------
100.00   49.227105          95    517525     18179 total
