% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 60.09    0.013708         258        53         7 futex
 11.14    0.002541          17       143           clock_gettime
 10.17    0.002320          64        36           nanosleep
  2.44    0.000557          11        48           rt_sigprocmask
  2.38    0.000543          45        12           sched_yield
  2.25    0.000514         102         5           epoll_pwait
  1.74    0.000397           8        47           mmap
  1.53    0.000348          21        16           mprotect
  1.40    0.000319          45         7           clone3
  0.93    0.000212          13        16           sigaltstack
  0.76    0.000173          12        14           close
  0.50    0.000115          14         8           rseq
  0.43    0.000097          10         9           setsockopt
  0.36    0.000082           6        13           read
  0.34    0.000078           8         9           openat
  0.34    0.000077          15         5           socket
  0.34    0.000077           9         8           gettid
  0.33    0.000075          25         3         2 accept4
  0.31    0.000070          11         6           munmap
  0.30    0.000068           8         8           set_robust_list
  0.27    0.000061          12         5           pread64
  0.23    0.000053          17         3           bind
  0.23    0.000053           2        25           prctl
  0.22    0.000051          51         1           rt_sigreturn
  0.21    0.000049           7         7           epoll_ctl
  0.16    0.000037          18         2           write
  0.16    0.000037           4         8           fcntl
  0.12    0.000027           6         4           sched_getaffinity
  0.10    0.000022          11         2           getsockname
  0.10    0.000022           7         3           prlimit64
  0.04    0.000009           9         1           listen
  0.04    0.000009           9         1           epoll_create1
  0.03    0.000006           6         1           uname
  0.03    0.000006           6         1           eventfd2
  0.00    0.000000           0         3           fstat
  0.00    0.000000           0         3           brk
  0.00    0.000000           0       114           rt_sigaction
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         2           madvise
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00    0.022813          34       657        10 total
