% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 50.50   25.103136         600     41835      8804 futex
 39.20   19.484559          49    393174           clock_gettime
  2.17    1.076786          58     18460           write
  1.91    0.948581         112      8402        31 nanosleep
  1.78    0.886645          49     17748      4251 read
  1.13    0.560465          33     16664           sched_yield
  0.94    0.468124          31     14890           tgkill
  0.92    0.455895          30     14890           getpid
  0.88    0.435927          29     14891       188 rt_sigreturn
  0.48    0.239376          57      4183           epoll_pwait
  0.04    0.018530          63       293           madvise
  0.01    0.006238          36       169           setsockopt
  0.01    0.003351          48        69           getrandom
  0.01    0.002590          36        71           epoll_ctl
  0.01    0.002579          19       132           rt_sigprocmask
  0.01    0.002569          54        47           close
  0.00    0.002386          21       109           mmap
  0.00    0.001519          42        36         3 accept4
  0.00    0.001373          65        21           clone3
  0.00    0.001285          37        34           getsockname
  0.00    0.001243          21        59           prctl
  0.00    0.001046          23        44           mprotect
  0.00    0.000952          21        44           sigaltstack
  0.00    0.000460          20        22           set_robust_list
  0.00    0.000439          19        22           rseq
  0.00    0.000429           3       114           rt_sigaction
  0.00    0.000427          19        22           gettid
  0.00    0.000419          46         9           pread64
  0.00    0.000311          38         8           sched_getaffinity
  0.00    0.000303          18        16           munmap
  0.00    0.000055          18         3           prlimit64
  0.00    0.000050           5        10           openat
  0.00    0.000024           3         8           fcntl
  0.00    0.000000           0         3           fstat
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         5           socket
  0.00    0.000000           0         3           bind
  0.00    0.000000           0         1           listen
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           eventfd2
  0.00    0.000000           0         1           epoll_create1
------ ----------- ----------- --------- --------- ------------------
100.00   49.708072          90    546521     13278 total
