% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 37.09    0.004642         165        28         3 futex
 15.99    0.002001          60        33           nanosleep
 12.79    0.001600          14       113           clock_gettime
  5.01    0.000627         156         4         1 epoll_pwait
  3.20    0.000401           9        41           mmap
  3.19    0.000399          11        35           rt_sigprocmask
  2.69    0.000337           2       115           rt_sigaction
  2.16    0.000270          22        12           read
  2.13    0.000266          22        12           mprotect
  1.81    0.000226          45         5           clone3
  1.56    0.000195          21         9           sched_yield
  1.15    0.000144          11        13           close
  1.04    0.000130          10        12           sigaltstack
  1.03    0.000129           5        23           prctl
  0.97    0.000122          30         4         3 accept4
  0.97    0.000121          13         9           openat
  0.82    0.000102          10        10           setsockopt
  0.70    0.000088          29         3           prlimit64
  0.66    0.000082          13         6           rseq
  0.62    0.000078          13         6           socket
  0.60    0.000075          15         5           munmap
  0.56    0.000070           8         8           gettid
  0.54    0.000068           9         7           epoll_ctl
  0.35    0.000044           7         6           set_robust_list
  0.34    0.000042           5         8           fcntl
  0.34    0.000042          14         3           sched_getaffinity
  0.27    0.000034           8         4           bind
  0.27    0.000034          11         3           tgkill
  0.22    0.000027           9         3           getpid
  0.20    0.000025           8         3           getsockname
  0.19    0.000024           6         4           pread64
  0.16    0.000020           6         3           write
  0.11    0.000014           7         2           listen
  0.07    0.000009           9         1           epoll_create1
  0.06    0.000008           4         2           madvise
  0.04    0.000005           1         3           fstat
  0.04    0.000005           5         1         1 rt_sigreturn
  0.04    0.000005           5         1           eventfd2
  0.02    0.000003           3         1           uname
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00    0.012514          21       569         9 total
