% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 54.69   24.500727          57    427282           clock_gettime
 31.07   13.918836         599     23235      4285 futex
  4.22    1.889852          58     32288      3009 read
  4.11    1.840799          69     26544           write
  2.07    0.928351         121      7615        23 nanosleep
  0.92    0.412183          42      9804           tgkill
  0.91    0.407714          41      9804           getpid
  0.89    0.399121          40      9802       799 rt_sigreturn
  0.65    0.293029          35      8183           sched_yield
  0.31    0.138802          63      2184         2 epoll_pwait
  0.10    0.046031          58       782           madvise
  0.01    0.005451          30       180           setsockopt
  0.01    0.003768          31       119           rt_sigprocmask
  0.01    0.003505          32       107           mmap
  0.00    0.002173         114        19           clone3
  0.00    0.001570          39        40           mprotect
  0.00    0.001533          39        39         5 accept4
  0.00    0.001435          23        61           prctl
  0.00    0.001200          30        40           sigaltstack
  0.00    0.001077          25        42           epoll_ctl
  0.00    0.001057          28        37           getsockname
  0.00    0.000707          35        20           rseq
  0.00    0.000642          32        20           set_robust_list
  0.00    0.000582          26        22           gettid
  0.00    0.000469          27        17           munmap
  0.00    0.000405           3       115           rt_sigaction
  0.00    0.000260          17        15           close
  0.00    0.000242          26         9           pread64
  0.00    0.000173          17        10           openat
  0.00    0.000167          13        12           getrandom
  0.00    0.000163          20         8           sched_getaffinity
  0.00    0.000129         129         1         1 connect
  0.00    0.000118          16         7           socket
  0.00    0.000032           4         8           fcntl
  0.00    0.000026           8         3           prlimit64
  0.00    0.000024           6         4           bind
  0.00    0.000018           9         2           listen
  0.00    0.000012           4         3           brk
  0.00    0.000010           3         3           fstat
  0.00    0.000007           7         1           eventfd2
  0.00    0.000007           7         1           epoll_create1
  0.00    0.000005           5         1           uname
  0.00    0.000004           4         1           arch_prctl
  0.00    0.000004           4         1           set_tid_address
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           getpeername
  0.00    0.000000           0         1           getsockopt
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ------------------
100.00   44.802420          80    558495      8125 total
