% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 54.95    0.011650         219        53         3 futex
 11.19    0.002372          14       166           clock_gettime
 10.92    0.002316          56        41           nanosleep
  2.93    0.000622          12        48           mmap
  2.80    0.000594          12        48           rt_sigprocmask
  2.04    0.000432          61         7           clone3
  1.55    0.000328           2       114           rt_sigaction
  1.50    0.000317          19        16           mprotect
  1.14    0.000241         241         1           execve
  0.86    0.000182          14        13           read
  0.82    0.000174           6        26           prctl
  0.79    0.000168          12        13           sched_yield
  0.74    0.000157           9        16           sigaltstack
  0.72    0.000153          10        14           close
  0.72    0.000153          17         9           setsockopt
  0.66    0.000140          17         8           rseq
  0.58    0.000123          20         6           munmap
  0.51    0.000108          21         5           pread64
  0.49    0.000103          11         9           openat
  0.47    0.000099          19         5           socket
  0.45    0.000095          11         8           gettid
  0.42    0.000088          11         8           set_robust_list
  0.40    0.000085          12         7           epoll_ctl
  0.37    0.000079           9         8           fcntl
  0.27    0.000058          19         3           bind
  0.25    0.000054          13         4           sched_getaffinity
  0.25    0.000052          10         5           epoll_pwait
  0.18    0.000038          12         3         2 accept4
  0.17    0.000035          35         1           rt_sigreturn
  0.15    0.000031           6         5           write
  0.12    0.000025           8         3           prlimit64
  0.09    0.000020          20         1           uname
  0.09    0.000019           9         2           getsockname
  0.08    0.000018          18         1           epoll_create1
  0.07    0.000014           4         3           brk
  0.06    0.000013           4         3           fstat
  0.06    0.000013          13         1           eventfd2
  0.04    0.000008           8         1           listen
  0.03    0.000007           7         1         1 access
  0.03    0.000007           3         2           madvise
  0.02    0.000004           4         1           arch_prctl
  0.02    0.000004           4         1           set_tid_address
  0.02    0.000004           4         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00    0.021203          30       691         6 total
