% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 58.35   29.586684         493     59951     11844 futex
 30.05   15.234582          45    335302           clock_gettime
  2.79    1.414055         110     12779        66 nanosleep
  1.69    0.856434          34     24601           sched_yield
  1.49    0.757060          46     16231      5397 read
  1.44    0.728714          55     13116           write
  1.07    0.541083          29     18115           tgkill
  1.04    0.528769          29     18115           getpid
  0.97    0.491335          27     18116       279 rt_sigreturn
  0.83    0.419485          59      6999         1 epoll_pwait
  0.18    0.090607          51      1747           getrandom
  0.04    0.020885          53       390           madvise
  0.01    0.006220          36       169           setsockopt
  0.01    0.003754          28       132           rt_sigprocmask
  0.01    0.003556          32       110           mmap
  0.01    0.003194          67        47           close
  0.00    0.002530          35        71           epoll_ctl
  0.00    0.001977          94        21           clone3
  0.00    0.001749          29        60           prctl
  0.00    0.001613          44        36         3 accept4
  0.00    0.001534          34        44           mprotect
  0.00    0.001336          39        34           getsockname
  0.00    0.001285          29        44           sigaltstack
  0.00    0.000770          35        22           set_robust_list
  0.00    0.000653          29        22           rseq
  0.00    0.000641          29        22           gettid
  0.00    0.000503          27        18           munmap
  0.00    0.000490           4       114           rt_sigaction
  0.00    0.000313          34         9           pread64
  0.00    0.000296          37         8           sched_getaffinity
  0.00    0.000102          20         5           socket
  0.00    0.000053           5        10           openat
  0.00    0.000049          16         3           bind
  0.00    0.000043           5         8           fcntl
  0.00    0.000011          11         1           listen
  0.00    0.000011           3         3           prlimit64
  0.00    0.000009           9         1           epoll_create1
  0.00    0.000008           8         1           eventfd2
  0.00    0.000003           3         1           uname
  0.00    0.000000           0         3           fstat
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
------ ----------- ----------- --------- --------- ------------------
100.00   50.702396          96    526488     17591 total
