% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 56.36    0.012865         242        53         4 futex
  9.62    0.002195          60        36           nanosleep
  8.04    0.001835          13       137           clock_gettime
  4.98    0.001137         227         5           epoll_pwait
  3.86    0.000882          18        48           mmap
  2.51    0.000572          11        48           rt_sigprocmask
  2.13    0.000486           4       114           rt_sigaction
  1.52    0.000346          49         7           clone3
  1.22    0.000278          17        16           mprotect
  1.02    0.000233          14        16           sigaltstack
  1.00    0.000228          17        13           read
  0.94    0.000214           8        26           prctl
  0.91    0.000207          13        15           sched_yield
  0.80    0.000182          22         8           munmap
  0.77    0.000175          12        14           close
  0.52    0.000119          13         9           openat
  0.41    0.000093          11         8           rseq
  0.35    0.000079           9         8           set_robust_list
  0.32    0.000073           9         8           gettid
  0.31    0.000071           7         9           setsockopt
  0.29    0.000067          13         5           pread64
  0.29    0.000067           8         8           fcntl
  0.28    0.000065          16         4           sched_getaffinity
  0.26    0.000060          20         3         2 accept4
  0.26    0.000059           8         7           epoll_ctl
  0.19    0.000044           8         5           socket
  0.15    0.000034          11         3           prlimit64
  0.11    0.000025          12         2           write
  0.11    0.000024           8         3           bind
  0.08    0.000018           6         3           brk
  0.07    0.000016           5         3           fstat
  0.07    0.000016           8         2           getsockname
  0.04    0.000010           5         2           madvise
  0.03    0.000007           7         1           rt_sigreturn
  0.03    0.000007           7         1         1 access
  0.03    0.000007           7         1           listen
  0.03    0.000006           6         1           uname
  0.03    0.000006           6         1           arch_prctl
  0.03    0.000006           6         1           set_tid_address
  0.02    0.000004           4         1           eventfd2
  0.02    0.000004           4         1           epoll_create1
  0.02    0.000004           4         1           getrandom
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ------------------
100.00    0.022826          34       658         7 total
