% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 71.33   41.506946         613     67668      7357 futex
 14.71    8.558906          30    282849           clock_gettime
  4.75    2.766511          95     28843        65 nanosleep
  2.25    1.309909          66     19561         8 epoll_pwait
  1.60    0.932471          29     32137           sched_yield
  1.44    0.840155          33     24877      9934 read
  1.11    0.643202          53     11960           write
  0.49    0.285674          35      8059           setsockopt
  0.36    0.208012          27      7653           tgkill
  0.35    0.205834          26      7653           getpid
  0.31    0.178592          23      7654       175 rt_sigreturn
  0.27    0.159668         101      1578      1578 connect
  0.19    0.108877          33      3223           epoll_ctl
  0.16    0.092370          56      1621           close
  0.16    0.092170          41      2198           getrandom
  0.12    0.068335          43      1583           socket
  0.10    0.056902          35      1612           getsockname
  0.10    0.056185          35      1578           getpeername
  0.09    0.054552          34      1578           getsockopt
  0.08    0.047866          39      1226           madvise
  0.01    0.003405          27       126           rt_sigprocmask
  0.01    0.003311          30       109           mmap
  0.00    0.001789          29        61           prctl
  0.00    0.001747          87        20           clone3
  0.00    0.001545          42        36         3 accept4
  0.00    0.001244          29        42           mprotect
  0.00    0.001053          25        42           sigaltstack
  0.00    0.000599          28        21           rseq
  0.00    0.000540          25        21           gettid
  0.00    0.000516          30        17           munmap
  0.00    0.000477          22        21           set_robust_list
  0.00    0.000214          23         9           pread64
  0.00    0.000167          16        10           openat
  0.00    0.000131          16         8           sched_getaffinity
  0.00    0.000072          24         3           bind
  0.00    0.000071           8         8           fcntl
  0.00    0.000023           7         3           prlimit64
  0.00    0.000010          10         1           uname
  0.00    0.000009           9         1           listen
  0.00    0.000009           9         1           eventfd2
  0.00    0.000009           9         1           epoll_create1
  0.00    0.000000           0         3           fstat
  0.00    0.000000           0         3           brk
  0.00    0.000000           0       114           rt_sigaction
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
------ ----------- ----------- --------- --------- ------------------
100.00   58.190078         112    515796     19121 total
